base_id,locale,question,option_a,option_b,option_c,option_d,correct_option,explanation,level,topic
q1022,pt,Qual é o planeta com mais luas conhecidas?,Terra,Marte,Júpiter,Saturno,D,"Saturno possui o maior número de luas confirmadas, com mais de 140 satélites naturais conhecidos, superando Júpiter.",2,Sistema Solar
q1023,pt,O que é um cometa?,Estrela cadente,Bola de gelo e rocha,Planeta pequeno,Lua gigante,B,"Um cometa é um corpo celeste composto de gelo, rochas e poeira que desenvolve uma cauda brilhante quando se aproxima do Sol.",1,Astronomia
q1024,pt,Em qual galáxia o Sistema Solar está localizado?,Andrômeda,Via Láctea,Triângulo,Sombrero,B,"O Sistema Solar está localizado na galáxia Via Láctea, mais especificamente no Braço de Órion, a cerca de 26.000 anos-luz do centro galáctico.",1,Via Láctea
q1025,pt,Qual planeta tem o dia mais longo?,Mercúrio,Vênus,Terra,Júpiter,B,"Vênus tem o dia mais longo de todos os planetas, levando 243 dias terrestres para completar uma rotação, mais tempo que sua translação de 225 dias.",2,Sistema Solar
q1026,pt,Quantas fases principais a Lua possui?,2,4,6,8,B,"A Lua possui 4 fases principais: Nova, Crescente, Cheia e Minguante, completando um ciclo em aproximadamente 29,5 dias.",1,Lua
q1027,pt,Qual é o nome do movimento da Terra ao redor do Sol?,Rotação,Translação,Precessão,Nutação,B,"Translação é o movimento da Terra ao redor do Sol, que leva 365,25 dias para completar e causa as estações do ano.",1,Terra
q1028,pt,Qual é a maior lua do Sistema Solar?,Nossa Lua,Europa,Titã,Ganimedes,D,"Ganimedes, lua de Júpiter, é a maior lua do Sistema Solar com 5.268 km de diâmetro, maior até que o planeta Mercúrio.",2,Sistema Solar
q1029,pt,O que é uma estrela cadente?,Estrela caindo,Meteoro entrando na atmosfera,Cometa passando,Satélite artificial,B,"Estrela cadente é na verdade um meteoro, pequeno fragmento de rocha ou metal que queima ao entrar em alta velocidade na atmosfera terrestre.",1,Astronomia
q1030,pt,Qual planeta é conhecido por seus anéis?,Marte,Júpiter,Saturno,Vênus,C,"Saturno é famoso por seu magnífico sistema de anéis, visível até com pequenos telescópios da Terra.",1,Sistema Solar
q1031,pt,De que o Sol é feito principalmente?,Rochas,Água,Hidrogênio e Hélio,Oxigênio,C,"O Sol é composto principalmente de hidrogênio (cerca de 73%) e hélio (cerca de 25%), com traços de elementos mais pesados.",1,Sol
q1032,pt,Qual planeta tem a Grande Tempestade Escura?,Júpiter,Saturno,Urano,Netuno,D,"Netuno apresenta periodicamente grandes tempestades escuras em sua atmosfera, similares à Grande Mancha Vermelha de Júpiter mas temporárias.",2,Sistema Solar
q1033,pt,Qual é a velocidade de rotação da Terra?,Cerca de 100 km/h,Cerca de 500 km/h,Cerca de 1.600 km/h,Cerca de 5.000 km/h,C,"No equador, a Terra gira a aproximadamente 1.670 km/h, velocidade que diminui conforme nos aproximamos dos polos.",2,Terra
q1034,pt,O que acontece durante um eclipse solar?,Terra entre Sol e Lua,Lua entre Sol e Terra,Sol entre Terra e Lua,Marte passa na frente,B,"Eclipse solar ocorre quando a Lua passa entre a Terra e o Sol, bloqueando total ou parcialmente a luz solar.",2,Lua
q1035,pt,Qual planeta possui o maior vulcão do Sistema Solar?,Terra,Marte,Júpiter,Vênus,B,"Marte possui o Monte Olimpo, o maior vulcão do Sistema Solar com 22 km de altura, quase 3 vezes o Monte Everest.",2,Sistema Solar
q1036,pt,Qual é a constelação que contém as Três Marias?,Cruzeiro do Sul,Órion,Escorpião,Ursa Maior,B,"As Três Marias fazem parte da constelação de Órion, representando o cinturão do caçador mitológico.",1,Estrelas
q1037,pt,Qual planeta poderia flutuar na água?,Terra,Saturno,Marte,Mercúrio,B,"Saturno tem densidade média menor que a água (cerca de 0,687 g/cm³), então teoricamente flutuaria se houvesse um oceano grande o suficiente.",2,Sistema Solar
q1038,pt,O que é um ano-luz?,Tempo de viagem,Distância percorrida pela luz em 1 ano,Idade de uma estrela,Velocidade da luz,B,"Um ano-luz é a distância que a luz percorre no vácuo durante um ano, equivalente a cerca de 9,5 trilhões de quilômetros.",2,Astronomia
q1039,pt,Qual planeta tem a órbita mais excêntrica?,Terra,Marte,Mercúrio,Vênus,C,"Mercúrio possui a órbita mais excêntrica (alongada) entre os planetas, com sua distância ao Sol variando significativamente.",2,Sistema Solar
q1040,pt,Por que a Lua não tem atmosfera?,Muito fria,Gravidade fraca,Muito perto do Sol,Feita de rocha,B,"A Lua tem gravidade muito fraca (1/6 da Terra) para reter uma atmosfera, fazendo com que gases escapem para o espaço.",2,Lua
q1041,pt,Qual é o planeta mais distante do Sol?,Saturno,Urano,Netuno,Plutão,C,"Netuno é o planeta mais distante do Sol, orbitando a cerca de 4,5 bilhões de quilômetros de distância.",1,Sistema Solar
q1042,pt,Qual é o nome da camada da atmosfera onde vivemos?,Estratosfera,Troposfera,Mesosfera,Termosfera,B,"A troposfera é a camada mais baixa da atmosfera terrestre, onde ocorre o clima e onde vivemos, estendendo-se até cerca de 12 km de altitude.",1,Terra
q1043,pt,O que acontecerá com o Sol no futuro distante?,Explodir como supernova,Virar gigante vermelha,Virar buraco negro,Desaparecer,B,"Em cerca de 5 bilhões de anos, o Sol se expandirá em uma gigante vermelha, possivelmente engolindo os planetas internos antes de se tornar uma anã branca.",2,Estrelas
q1044,pt,Qual planeta tem ventos mais fortes?,Terra,Marte,Netuno,Vênus,C,"Netuno possui os ventos mais fortes do Sistema Solar, atingindo velocidades de até 2.100 km/h, mais de 5 vezes a velocidade de um furacão terrestre.",2,Sistema Solar
q1045,pt,Quantas constelações oficiais existem?,12,48,88,100,C,"A União Astronômica Internacional reconhece oficialmente 88 constelações, dividindo toda a esfera celeste.",2,Astronomia
q1046,pt,Qual é a temperatura aproximada na superfície do Sol?,6.000°C,15.000°C,1.000.000°C,100.000°C,A,"A superfície do Sol (fotosfera) tem temperatura de aproximadamente 5.500-6.000°C, enquanto o núcleo chega a 15 milhões de graus.",2,Sistema Solar
q1047,pt,O que causa o dia e a noite?,Translação da Terra,Rotação da Terra,Lua bloqueando o Sol,Nuvens,B,"O dia e a noite são causados pela rotação da Terra em torno de seu próprio eixo, que leva 24 horas para completar.",1,Terra
q1048,pt,Qual planeta tem mais de 80 luas conhecidas?,Terra,Marte,Júpiter,Vênus,C,"Júpiter possui mais de 90 luas conhecidas, sendo as 4 maiores (Io, Europa, Ganimedes e Calisto) chamadas de luas galileanas.",2,Sistema Solar
q1049,pt,O que é a Via Láctea?,Uma estrela,Nossa galáxia,Um planeta,Uma nebulosa,B,"A Via Láctea é a galáxia espiral onde está localizado o Sistema Solar, contendo entre 200-400 bilhões de estrelas.",1,Astronomia
q1050,pt,Em que posição está a Terra no Sistema Solar?,1º planeta,2º planeta,3º planeta,4º planeta,C,"A Terra é o terceiro planeta a partir do Sol, localizada entre Vênus e Marte na zona habitável do Sistema Solar.",1,Sistema Solar
q1051,pt,O que causa as fases da Lua?,Sombra da Terra,Posição relativa Sol-Terra-Lua,Rotação da Lua,Nuvens,B,"As fases da Lua são causadas pela mudança na posição relativa entre Sol, Terra e Lua, alterando a porção iluminada visível da Terra.",2,Lua
q1052,pt,Qual planeta é conhecido como a Estrela D'Alva?,Marte,Júpiter,Vênus,Mercúrio,C,Vênus é chamado de Estrela D'Alva ou Estrela da Tarde por ser o objeto mais brilhante no céu após o Sol e a Lua.,1,Sistema Solar
q1053,pt,Qual é a cor do Sol quando visto do espaço?,Amarelo,Laranja,Branco,Azul,C,"Do espaço, o Sol aparece branco porque emite todas as cores do espectro visível. Vemos amarelo na Terra devido à dispersão atmosférica.",2,Estrelas
q1055,pt,Quanto tempo a Terra leva para dar uma volta completa em torno de si mesma?,12 horas,24 horas,48 horas,365 dias,B,"A Terra completa uma rotação em aproximadamente 24 horas (mais precisamente 23h 56min), definindo a duração de um dia.",1,Terra
q1056,pt,Qual planeta não tem lua?,Marte,Vênus,Júpiter,Netuno,B,Vênus e Mercúrio são os únicos planetas sem luas no Sistema Solar. Vênus possivelmente perdeu suas luas devido à gravidade solar.,1,Sistema Solar
q1057,pt,O que são as auroras boreais?,Reflexo do gelo,Partículas solares na atmosfera,Nuvens brilhantes,Estrelas cadentes,B,Auroras boreais são causadas por partículas carregadas do vento solar interagindo com o campo magnético terrestre e gases atmosféricos.,2,Astronomia
q1058,pt,Qual é o objeto mais massivo do Sistema Solar?,Júpiter,A Terra,O Sol,Saturno,C,"O Sol contém 99,86% de toda a massa do Sistema Solar, sendo 333.000 vezes mais massivo que a Terra.",1,Sistema Solar
q1059,pt,A Lua está se afastando ou se aproximando da Terra?,Se aproximando,Se afastando,Distância constante,Depende da estação,B,"A Lua se afasta da Terra cerca de 3,8 cm por ano devido à transferência de momento angular através das marés.",2,Lua
q1060,pt,Qual planeta tem um dia mais curto?,Terra,Marte,Júpiter,Saturno,C,"Júpiter tem o dia mais curto do Sistema Solar, completando uma rotação em apenas 9 horas e 55 minutos.",2,Sistema Solar
q1061,pt,Quantas estrelas podemos ver a olho nu em uma noite escura?,Centenas,Alguns milhares,Milhões,Bilhões,B,"Em condições ideais, longe de poluição luminosa, podemos ver cerca de 2.000 a 3.000 estrelas a olho nu.",2,Estrelas
q1062,pt,O que é Plutão classificado atualmente?,Planeta,Planeta anão,Asteroide,Cometa,B,Plutão foi reclassificado como planeta anão em 2006 pela União Astronômica Internacional por não ter 'limpo' sua órbita de outros objetos.,1,Sistema Solar
q1063,pt,Qual é a idade aproximada da Terra?,4,5 mil anos,4,5 milhões de anos,4,5 bilhões de anos,2,Terra
q1064,pt,Qual planeta tem a atmosfera mais densa?,Terra,Marte,Vênus,Mercúrio,C,"Vênus possui a atmosfera mais densa entre os planetas rochosos, com pressão superficial 92 vezes maior que a da Terra.",2,Sistema Solar
q1065,pt,O que é uma nebulosa?,Galáxia distante,Nuvem de gás e poeira espacial,Planeta em formação,Estrela morta,B,"Uma nebulosa é uma nuvem gigante de gás (principalmente hidrogênio) e poeira no espaço, onde novas estrelas podem nascer.",2,Astronomia
q1066,pt,Quantos planetas rochosos existem no Sistema Solar?,2,3,4,5,C,"Existem 4 planetas rochosos (terrestres): Mercúrio, Vênus, Terra e Marte, localizados na parte interna do Sistema Solar.",1,Sistema Solar
q1067,pt,Qual é o diâmetro aproximado do Sol?,100.000 km,700.000 km,1,4 milhão de km,10 milhões de km,C,2,Sol
q1068,pt,Qual planeta tem as estações mais extremas?,Terra,Marte,Urano,Vênus,C,"Urano tem as estações mais extremas devido à sua inclinação de 98°, com cada polo ficando 42 anos na luz e 42 anos na escuridão.",2,Sistema Solar
q1069,pt,Qual é o fenômeno quando a Lua parece maior no horizonte?,Superlua,Lua azul,Ilusão lunar,Periélio lunar,C,"A ilusão lunar é um efeito óptico que faz a Lua parecer maior quando está no horizonte, embora seu tamanho angular seja o mesmo.",2,Lua
q1070,pt,Qual é o planeta mais frio do Sistema Solar?,Netuno,Urano,Plutão,Saturno,B,"Urano é o planeta mais frio, com temperatura mínima de -224°C, mesmo não sendo o mais distante do Sol.",2,Sistema Solar
q1071,pt,Em que camada da Terra vivemos?,Núcleo,Manto,Crosta,Atmosfera,C,"Vivemos na crosta terrestre, a camada mais externa e fina da Terra, com espessura de 5-70 km.",1,Terra
q1072,pt,O que é o Cinturão de Kuiper?,Região interna do Sistema Solar,Região além de Netuno,Atmosfera de Júpiter,Centro da Via Láctea,B,"O Cinturão de Kuiper é uma região além da órbita de Netuno contendo milhares de objetos gelados, incluindo Plutão.",2,Astronomia
q1073,pt,Quantos planetas gasosos existem no Sistema Solar?,2,3,4,5,C,"Existem 4 planetas gasosos (jovianos): Júpiter, Saturno, Urano e Netuno, localizados na parte externa do Sistema Solar.",1,Sistema Solar
q1074,pt,O que é uma supergigante vermelha?,Planeta vermelho,Estrela muito grande e fria,Tipo de galáxia,Nebulosa vermelha,B,"Uma supergigante vermelha é uma estrela massiva na fase final de sua vida, expandida e com temperatura superficial relativamente baixa.",2,Estrelas
q1075,pt,Qual é a principal característica de Mercúrio?,Anéis brilhantes,Crateras e variação extrema de temperatura,Grande mancha,Oceanos congelados,B,Mercúrio tem superfície cheia de crateras e a maior variação de temperatura do Sistema Solar: de -180°C à noite a 430°C durante o dia.,2,Sistema Solar
q1076,pt,A Lua tem água?,Não tem água,Tem gelo em crateras polares,Tem oceanos,Tem rios,B,"Evidências indicam gelo de água em crateras permanentemente sombreadas nos polos lunares, descoberto por missões recentes.",2,Lua
q1077,pt,O que são os planetas internos?,Próximos ao Sol,Distantes do Sol,Com anéis,Sem atmosfera,A,"Planetas internos são os quatro planetas rochosos mais próximos ao Sol: Mercúrio, Vênus, Terra e Marte.",1,Sistema Solar
q1078,pt,Qual é a forma da órbita da Terra?,Círculo perfeito,Elipse,Quadrado,Espiral,B,"A órbita da Terra é elíptica (oval), com o Sol em um dos focos, variando de 147 a 152 milhões de km do Sol.",2,Terra
q1079,pt,O que é a magnitude estelar?,Tamanho da estrela,Brilho aparente da estrela,Temperatura da estrela,Idade da estrela,B,"Magnitude estelar é uma medida do brilho aparente de um objeto celeste visto da Terra, onde números menores indicam maior brilho.",2,Astronomia
q1080,pt,Qual planeta gira em sentido contrário aos outros?,Marte,Vênus,Urano,Netuno,B,"Vênus possui rotação retrógrada, girando no sentido contrário à maioria dos planetas, possivelmente devido a um impacto gigante no passado.",2,Sistema Solar
q1081,pt,Quantos anos o Sol tem?,4,6 milhões de anos,4,6 bilhões de anos,10 bilhões de anos,14 bilhões de anos,2,Sol
q1083,pt,Qual foi o primeiro ser vivo a orbitar a Lua?,Humanos,Cadela Laika,Moscas,Chimpanzé,C,"Em 1968, moscas-das-frutas a bordo da sonda soviética Zond 5 foram os primeiros seres vivos a orbitar a Lua e retornar vivos à Terra.",2,Lua
q1084,pt,Qual planeta tem um campo magnético mais forte?,Terra,Marte,Júpiter,Vênus,C,"Júpiter possui o campo magnético mais forte do Sistema Solar, cerca de 20.000 vezes mais intenso que o da Terra.",2,Sistema Solar
q1085,pt,O que é uma unidade astronômica (UA)?,1 ano-luz,Distância Terra-Sol,Tamanho do Sol,Velocidade da luz,B,"Uma Unidade Astronômica (UA) é a distância média entre a Terra e o Sol, aproximadamente 150 milhões de quilômetros.",2,Astronomia
q1086,pt,Quantas vezes a Terra cabe no Sol?,Cerca de 100,Cerca de 1.000,Cerca de 1 milhão,Cerca de 1 bilhão,C,"Aproximadamente 1,3 milhão de Terras caberiam dentro do volume do Sol.",2,Terra
q1087,pt,Qual planeta foi descoberto por último?,Urano,Netuno,Plutão,Marte,B,"Netuno foi o último planeta a ser descoberto (1846), embora Plutão tenha sido descoberto depois (1930) mas não é mais classificado como planeta.",1,Sistema Solar
q1088,pt,O que mantém as estrelas brilhando?,Queima de combustível,Fusão nuclear,Reflexo do Sol,Eletricidade,B,"Estrelas brilham devido à fusão nuclear em seus núcleos, onde átomos de hidrogênio se fundem em hélio liberando energia.",2,Estrelas
q1089,pt,Qual é a cor de Netuno?,Vermelho,Verde,Azul,Amarelo,C,"Netuno aparece azul devido ao metano em sua atmosfera, que absorve luz vermelha e reflete luz azul.",1,Sistema Solar
q1090,pt,Qual é a velocidade orbital da Terra ao redor do Sol?,30 km/h,300 km/h,3.000 km/h,30.000 km/h,D,"A Terra orbita o Sol a aproximadamente 107.000 km/h ou 29,8 km/s, completando uma volta em 365,25 dias.",2,Terra
q1091,pt,Quando aconteceu a primeira alunissagem tripulada?,1959,1969,1979,1989,B,"A primeira alunissagem tripulada foi em 20 de julho de 1969, com a missão Apollo 11 e os astronautas Neil Armstrong e Buzz Aldrin.",1,Lua
q1092,pt,Qual planeta tem a maior montanha vulcânica?,Terra,Vênus,Marte,Júpiter,C,"O Monte Olimpo em Marte é a maior montanha vulcânica do Sistema Solar, com 21,9 km de altura.",2,Sistema Solar
q1093,pt,O que são meteoros?,Estrelas cadentes,Cometas,Planetas pequenos,Galáxias,A,"Meteoros são fragmentos de rocha ou metal que queimam ao entrar na atmosfera terrestre, criando o fenômeno visual das 'estrelas cadentes'.",1,Astronomia
q1094,pt,Qual planeta tem tempestades com raios de cor azul?,Terra,Júpiter,Saturno,Netuno,C,"Saturno possui tempestades elétricas com raios que emitem luz azul, muito mais poderosos que os raios terrestres.",2,Sistema Solar
q1095,pt,Qual é a camada visível do Sol que vemos?,Núcleo,Fotosfera,Cromosfera,Corona,B,"A fotosfera é a camada visível do Sol, onde a temperatura é de cerca de 5.500°C e de onde vem a maior parte da luz solar.",2,Sol
q1096,pt,Quantos continentes existem na Terra?,5,6,7,8,C,"A Terra possui 7 continentes: África, América do Norte, América do Sul, Antártida, Ásia, Europa e Oceania.",1,Terra
q1097,pt,Qual planeta tem o maior sistema de anéis?,Júpiter,Saturno,Urano,Netuno,B,"Saturno possui o maior e mais espetacular sistema de anéis, estendendo-se por centenas de milhares de quilômetros.",2,Sistema Solar
q1098,pt,O que é um satélite natural?,Nave espacial,Objeto que orbita um planeta,Estrela,Asteroide,B,Um satélite natural é um corpo celeste que orbita um planeta ou outro corpo maior. A Lua é o satélite natural da Terra.,1,Astronomia
q1099,pt,Qual planeta tem a inclinação axial mais extrema?,Terra,Marte,Urano,Vênus,C,"Urano possui inclinação axial de 97,77 graus, fazendo com que seu eixo de rotação esteja quase no plano de sua órbita.",2,Sistema Solar
q1100,pt,Qual é a segunda estrela mais próxima da Terra?,Sirius,Alpha Centauri,Próxima Centauri,Betelgeuse,C,"Próxima Centauri, parte do sistema Alpha Centauri, é a estrela mais próxima da Terra depois do Sol, a 4,24 anos-luz.",2,Estrelas
