baseId ,topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation,language
astro_00024,Solar System,6,What causes the auroras on Jupiter?,Solar wind interaction,Volcanic activity on Io,Jupiter's rapid rotation,Gravitational tidal forces,A,Jupiter's auroras are caused by charged particles from the solar wind interacting with Jupiter's powerful magnetic field.,en
astro_00025,Stellar Objects,5,What color are the hottest stars?,Red,Yellow,White,Blue,D,"The hottest stars appear blue or blue-white, with surface temperatures exceeding 30,000 Kelvin.",en
astro_00026,Solar System,5,What connects Saturn's E ring to one of its moons?,Titan's atmosphere,Enceladus' geysers,Mimas' craters,Rhea's orbit,B,Saturn's E ring is connected to Enceladus through the moon's geyser activity that feeds particles into the ring.,en
astro_00027,Stellar Objects,6,What determines whether a core-collapse supernova is classified as Type II Ib or Ic?,The star's age,The star's temperature,The progenitor star's outer layers,The explosion energy,C,Core-collapse supernovae are classified based on the progenitor star's characteristics and outer hydrogen layers.,en
astro_00028,Relativity & Fundamental Physics,7,What did Einstein's general theory of relativity predict about space and time?,They are separate entities,They form a unified spacetime,They don't exist,They are illusions,B,General relativity describes space and time as a unified four-dimensional spacetime that can be curved by mass and energy.,en
astro_00029,Scientists,5,What disease did Stephen Hawking overcome to become a renowned physicist?,Multiple sclerosis,ALS (Lou Gehrig's disease),Parkinson's disease,Muscular dystrophy,B,Stephen Hawking was diagnosed with ALS (amyotrophic lateral sclerosis) in 1963 but continued his groundbreaking work for decades.,en
astro_00030,Stellar Objects,3,What do reflection nebulae do to starlight?,Absorb it,Reflect it,Emit it,Bend it,B,Reflection nebulae reflect light from nearby stars creating beautiful blue-colored clouds in space.,en
astro_00031,Stellar Objects,4,What do supernovae create that is crucial for the universe?,Energy,Heavy elements,Stellar Objects,Neutron stars,B,Supernovae create and distribute heavy elements throughout the universe essential for planet and life formation.,en
astro_00032,Galaxies & Cosmology,7,"What does ""fc"" represent in the Drake Equation?",Fraction of civilizations,Fraction of communicating civilizations,Fraction of planets with continents,Fraction of carbon-based life,B,The parameter fc represents the fraction of civilizations that develop technology for interstellar communication.,en
astro_00033,Galaxies & Cosmology,5,"What does ""L"" represent in the Drake Equation?",Length of planetary orbits,Lifetime of communicating civilizations,Light-years to nearest star,Level of technology,B,The parameter L represents the length of time that civilizations release detectable signals into space.,en
astro_00034,Galaxies & Cosmology,7,"What does ""ne"" represent in the Drake Equation?",Number of Earths,Number of planets per star system,Number of electrons,Number of ecosystems,B,The parameter ne represents the average number of planets that could potentially support life per star.,en
astro_00035,Relativity & Fundamental Physics,8,What does E = mc² mean?,Energy equals mass times speed,Energy is proportional to time,Energy equals mass times the speed of light squared,Energy increases with heat,C,Einstein’s formula shows mass and energy are equivalent.,en
astro_00036,Relativity & Fundamental Physics,4,What does Einstein's famous equation E=mc² represent?,Energy equals mass times the speed of light,Mass-energy equivalence,The speed of light formula,The theory of gravity,B,"E=mc² represents mass-energy equivalence, showing that mass and energy are interchangeable.",en
astro_00037,General Curiosities,1,What does space smell like according to astronauts?,Nothing (no smell),Flowers,Hot metal and welding fumes,Ozone,C,"Astronauts report that space (or rather, their spacesuits after spacewalks) smells like hot metal and welding fumes.",en
astro_00038,Worlds Beyond,4,What does TESS stand for?,Transiting Exoplanet Survey Satellite,Terrestrial Exoplanet Search System,Telescope for Exoplanet Spectral Studies,Transiting Earth-like Star Survey,A,TESS is the Transiting Exoplanet Survey Satellite that searches for exoplanets using the transit method.,en
astro_00039,Galaxies & Cosmology,5,What does the Drake Equation estimate?,The number of stars in the galaxy,The number of communicating alien civilizations,The age of the universe,The speed of light,B,"The Drake Equation is a probabilistic argument used to estimate the number of active, communicating extraterrestrial civilizations in the Milky Way.",en
astro_00040,Galaxies & Cosmology,3,What does the Fermi Paradox question?,How stars form,Where the aliens are,Why galaxies spin,What Stellar Objects are made of,B,It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe.,en
astro_00041,Galaxies & Cosmology,6,"What does the parameter ""fl"" represent in the Drake Equation?",Fraction of planets with life,Fraction of life that becomes intelligent,Fraction of stars with planets,Fraction of intelligent life that communicates,A,The parameter fl represents the fraction of suitable planets on which life actually appears.,en
astro_00042,Worlds Beyond,2,"What does the term ""exoplanet"" mean?",A planet outside our galaxy,A planet outside our Solar System,A planet made of exotic matter,An exploded planet,B,An exoplanet is any planet that orbits a star outside our Solar System.,en
astro_00043,Small Solar System Bodies,2,What gives a comet its tail?,Its magnetic field,Solar wind,Rotation speed,Gravity,B,"Solar wind and sunlight cause the comet’s ices to vaporize, forming a tail.",en
astro_00044,Stellar Objects,4,What happens at the photon sphere of a black hole?,Light escapes easily,Light orbits the black hole,Light is absorbed,Light is reflected,B,At the photon sphere light can orbit the black hole in circular paths due to extreme gravitational curvature.,en
astro_00045,Stellar Objects,2,What happens if you cross the event horizon of a black hole?,You can come back easily,Time stops for you,You can't escape,You see the entire universe,C,The event horizon is the point of no return—nothing escapes beyond it.,en
astro_00046,Relativity & Fundamental Physics,4,What happens to length at high speeds?,It increases,It decreases,It stays the same,It oscillates,B,Length contraction occurs at high speeds where objects appear shorter in the direction of motion.,en
astro_00047,Stellar Objects,2,What happens to the core of a massive star during a supernova?,It expands,It collapses,It disappears,It cools down,B,During a core-collapse supernova the core of a massive star collapses rapidly before exploding.,en
astro_00048,Relativity & Fundamental Physics,5,What happens to time as you approach the speed of light?,Time speeds up,Time slows down,Time stops,Time reverses,B,"According to special relativity, time dilation occurs as you approach the speed of light, causing time to slow down relative to stationary observers.",en
astro_00049,Small Solar System Bodies,4,What happens when a comet approaches the Sun?,It melts completely,It develops a tail,It explodes,It changes orbit,B,"As a comet approaches the Sun, solar radiation causes ice to sublimate, creating the characteristic tail.",en
astro_00050,Stellar Objects,3,What happens when a massive star runs out of nuclear fuel?,It becomes a white dwarf,It explodes as a supernova,It becomes a red giant,It simply fades away,B,"When a massive star runs out of nuclear fuel, it collapses and explodes as a supernova, potentially forming a neutron star or black hole.",en
astro_00051,Stellar Objects,3,What is a black hole?,A region of space with gravity so strong that nothing can escape,A giant comet,A type of star that emits strong light,An asteroid belt,A,A black hole has gravity so intense that not even light can escape it.,en
astro_00052,Galaxies & Cosmology,6,What is a blazar?,Active galactic nucleus with jet toward Earth,Exploding galaxy,Binary galaxy system,Galaxy with no dark matter,A,A blazar is an active galactic nucleus with a relativistic jet pointed toward Earth making it extremely bright.,en
astro_00053,Stellar Objects,5,What is a blue straggler?,A star that appears younger than expected,A very hot white dwarf,A rapidly rotating neutron star,A binary star system,A,Blue stragglers are stars that appear younger and bluer than other stars in their cluster due to mass transfer or mergers.,en
astro_00054,Worlds Beyond,6,What is a circumbinary planet?,A planet with two moons,A planet orbiting two stars,A planet with rings,A planet in a binary system,B,A circumbinary planet orbits around both stars in a binary star system.,en
astro_00055,Galaxies & Cosmology,3,What is a dwarf galaxy?,A very small galaxy,A very dense galaxy,A very young galaxy,A very old galaxy,A,A dwarf galaxy is a small galaxy containing only a few billion stars compared to hundreds of billions in larger galaxies.,en
astro_00056,Galaxies & Cosmology,5,What is a galaxy cluster?,A group of stars,A group of galaxies,A group of planets,A group of nebulae,B,A galaxy cluster is a gravitationally bound collection of hundreds to thousands of galaxies.,en
astro_00057,Worlds Beyond,4,What is a hot Jupiter?,A very hot star,A Jupiter-like planet close to its star,A planet made of hot gas,A star similar to Jupiter,B,A hot Jupiter is a gas giant exoplanet that orbits very close to its host star.,en
astro_00058,Small Solar System Bodies,1,What is a key difference between comets and asteroids?,Comets have tails; asteroids do not,Asteroids are icy,Comets orbit Earth,Asteroids are found in the Kuiper Belt,A,Comets have tails when near the Sun due to sublimation of ices.,en
astro_00059,Relativity & Fundamental Physics,2,What is a light-year a measure of?,Time,Distance,Mass,Brightness,B,A light-year measures the distance light travels in one year.,en
astro_00060,Small Solar System Bodies,3,What is a meteor shower?,Earth passing through comet debris,Asteroid fragments,Solar particles,Cosmic dust,A,Meteor showers occur when Earth passes through debris trails left by comets creating multiple meteors from the same radiant.,en
astro_00061,Worlds Beyond,5,What is a mini-Neptune?,Planet between Earth and Neptune size,Small version of Neptune,Neptune's moon,Neptune-like atmosphere,A,Mini-Neptunes are planets with radii between Earth and Neptune common among discovered exoplanets.,en
astro_00062,Small Solar System Bodies,4,What is a near-Earth object (NEO)?,An object near Earth's surface,An asteroid or comet with an orbit close to Earth,A satellite of Earth,A piece of space debris,B,A near-Earth object is an asteroid or comet whose orbit brings it close to Earth's orbit.,en
astro_00063,Relativity & Fundamental Physics,5,What is a neutron star?,A dense gas cloud,Collapsed core of a massive star,A baby star,A rogue planet,B,Neutron stars are remnants of supernova explosions from massive stars.,en
astro_00064,Galaxies & Cosmology,6,What is a quasar?,A type of star,An active galactic nucleus,A type of planet,A stellar explosion,B,A quasar is an extremely luminous active galactic nucleus powered by a supermassive black hole.,en
astro_00065,Galaxies & Cosmology,4,What is a starburst galaxy?,A galaxy forming many stars rapidly,A galaxy with exploding stars,A galaxy shaped like a star,A galaxy orbiting a star,A,A starburst galaxy is undergoing an exceptionally high rate of star formation.,en
astro_00066,Worlds Beyond,6,What is a super-Earth?,A planet larger than Earth,A very habitable planet,A planet with superpowers,A planet orbiting a supergiant,A,A super-Earth is an exoplanet with a mass larger than Earth's but smaller than Neptune's.,en
astro_00067,Stellar Objects,7,What is a Thorne-Żytkow object?,A neutron star inside a red giant,A black hole-neutron star binary,A white dwarf-red giant system,A pulsar with a planetary system,A,A Thorne-Żytkow object is a theoretical hybrid star with a neutron star core surrounded by a red giant envelope.,en
astro_00068,Worlds Beyond,5,What is a tidally locked planet?,A planet with no moons,A planet that doesn't rotate,A planet with one side always facing its star,A planet with extreme seasons,C,A tidally locked planet has one side permanently facing its star like the Moon faces Earth.,en
astro_00069,Stellar Objects,7,What is a white hole in theoretical physics?,The opposite of a black hole,A very bright star,A type of neutron star,A theoretical time machine,A,A white hole is a theoretical object that is the time-reverse of a black hole expelling matter and energy.,en
astro_00070,Space Observation,7,What is adaptive optics?,Adjusting telescope mirrors,Correcting atmospheric distortion,Changing telescope focus,Rotating telescope orientation,B,Adaptive optics systems correct for atmospheric distortion in real-time to improve image quality.,en
astro_00071,Stellar Objects,9,What is AdS/CFT correspondence?,Duality between gravity and field theory,Black hole classification system,Spacetime curvature formula,Quantum gravity theory,A,AdS/CFT correspondence is a theoretical duality between gravity in Anti-de Sitter space and conformal field theory.,en
astro_00072,Worlds Beyond,9,What is an exoplanet?,A moon outside the Solar System,A star in another galaxy,A planet outside the Solar System,A comet,C,Exoplanets are planets that orbit stars beyond our Solar System.,en
astro_00073,Galaxies & Cosmology,4,What is at the center of most galaxies?,A neutron star,A supermassive black hole,A white dwarf,A pulsar,B,"Most galaxies, including the Milky Way, have supermassive Stellar Objects at their centers.",en
astro_00074,Worlds Beyond,8,What is atmospheric characterization of exoplanets?,Studying planet surfaces,Studying planet atmospheres,Studying planet orbits,Studying planet formation,B,Atmospheric characterization involves studying the composition and properties of exoplanet atmospheres.,en
astro_00075,Worlds Beyond,6,What is atmospheric characterization?,Studying exoplanet atmosphere composition,Measuring planetary mass,Calculating orbital periods,Determining planetary radius,A,Atmospheric characterization involves studying the composition and properties of exoplanet atmospheres using spectroscopy.,en
astro_00076,Stellar Objects,8,What is black hole complementarity?,Information appears both destroyed and preserved,Stellar Objects have complements,Information exists in multiple forms,Observers see different realities,A,Black hole complementarity suggests information appears destroyed to outside observers but preserved to infalling observers.,en
astro_00077,Stellar Objects,6,What is convective overshooting?,Mixing beyond convective boundaries,Surface convection patterns,Core convection instabilities,Stellar wind acceleration,A,Convective overshooting occurs when convective motions extend beyond the formal convective boundary mixing stellar material.,en
astro_00078,Relativity & Fundamental Physics,7,What is dark matter believed to do?,Emit light,Slow down stars,Add mass to galaxies,Cause solar flares,C,Dark matter adds gravitational mass but does not emit light.,en
astro_00079,Galaxies & Cosmology,8,What is dark matter's role in galaxy formation?,It provides energy,It provides structure,It provides light,It provides heat,B,Dark matter provides the gravitational scaffolding that allows normal matter to form galaxies and larger structures.,en
astro_00080,Relativity & Fundamental Physics,8,What is frame dragging?,Time dilation,Space rotation,Length contraction,Mass increase,B,Frame dragging is the effect where rotating massive objects drag spacetime around with them.,en
astro_00081,Stellar Objects,4,What is frame-dragging around a black hole?,Time dilation effects,Spacetime rotation effects,Gravitational lensing,Tidal forces,B,Frame-dragging is the effect where rotating massive objects drag spacetime around with them.,en
astro_00082,Galaxies & Cosmology,7,What is galactic cannibalism?,Galaxies eating stars,Larger galaxies absorbing smaller ones,Stars eating planets,Stellar Objects eating galaxies,B,Galactic cannibalism occurs when larger galaxies gravitationally capture and absorb smaller galaxies.,en
astro_00083,Relativity & Fundamental Physics,6,What is gravitational redshift?,Light becomes redder in gravity,Light becomes bluer in gravity,Light disappears in gravity,Light bends in gravity,A,Gravitational redshift occurs when light loses energy climbing out of a gravitational field appearing redder.,en
astro_00084,Relativity & Fundamental Physics,6,What is gravitational time dilation?,Time moving faster in strong gravity,Time moving slower in strong gravity,Time stopping in gravity,Gravity affecting clock mechanisms,B,"Gravitational time dilation means time moves slower in stronger gravitational fields, as predicted by general relativity.",en
astro_00085,Stellar Objects,5,What is Hawking radiation temperature?,Inversely proportional to mass,Directly proportional to mass,Independent of mass,Proportional to mass squared,A,Hawking radiation temperature is inversely proportional to black hole mass: T = ℏc³/8πGMk.,en
astro_00086,Stellar Objects,7,What is Hawking radiation?,Radiation emitted by Stellar Objects,Radiation that creates Stellar Objects,Radiation that destroys Stellar Objects,Radiation from Stephen Hawking's experiments,A,Hawking radiation is theoretical radiation predicted to be emitted by Stellar Objects due to quantum effects near the event horizon.,en
astro_00087,Stellar Objects,9,What is Hawking-Unruh radiation?,Radiation from accelerating observers,Radiation from Stellar Objects only,Radiation from white holes,Radiation from wormholes,A,Hawking-Unruh radiation connects black hole radiation to radiation observed by accelerating observers.,en
astro_00088,Space Observation,6,What is interferometry in astronomy?,Combining signals from multiple telescopes,Blocking unwanted signals,Amplifying weak signals,Filtering radio interference,A,Interferometry combines signals from multiple telescopes to achieve higher resolution than any single telescope.,en
astro_00089,Space Observation,5,What is interferometry's main advantage?,Higher resolution than single telescopes,Cheaper construction costs,Simpler operation,Better weather resistance,A,Interferometry combines multiple telescopes to achieve higher resolution than any single telescope could provide.,en
astro_00090,General Curiosities,6,What is Olbers' paradox?,Why is the night sky dark?,Why do stars shine?,Why is space cold?,Why does the universe expand?,A,Olbers' paradox asks why the night sky is dark if the universe is infinite and uniformly filled with stars.,en
astro_00091,Galaxies & Cosmology,8,What is one of the most uncertain parameters in the Drake Equation?,Star formation rate,Fraction of stars with planets,Fraction of planets that develop intelligent life,Number of planets per star,C,The fraction of planets that develop intelligent life remains highly speculative and uncertain in the Drake Equation.,en
astro_00092,Stellar Objects,7,What is Population III stars?,The first generation of stars,Very metal-rich stars,Binary star systems,Planetary nebula central stars,A,Population III stars are the hypothetical first generation of stars formed from primordial hydrogen and helium.,en
astro_00093,Relativity & Fundamental Physics,6,What is proper acceleration?,Acceleration measured by accelerometer,Coordinate acceleration,Gravitational acceleration,Centripetal acceleration,A,Proper acceleration is the acceleration measured by an accelerometer carried by the accelerating object.,en
astro_00094,Relativity & Fundamental Physics,6,What is proper time?,Time measured by a moving observer,Time measured by a stationary observer,Time at the speed of light,Universal time,A,Proper time is the time measured by an observer in their own reference frame.,en
astro_00095,Relativity & Fundamental Physics,9,What is quantum gravity?,A strong gravitational field,A field around protons,Theory uniting general relativity and quantum mechanics,Type of black hole radiation,C,Quantum gravity attempts to unify gravity with quantum physics at very small scales.,en
astro_00096,Relativity & Fundamental Physics,4,What is redshift used to measure?,Stellar temperature,Age of planets,Expansion of the universe,Gravity,C,Redshift shows that galaxies are moving away due to universal expansion.,en
astro_00097,Stellar Objects,4,What is stellar aberration?,Apparent star position changes,Star brightness variations,Stellar spectrum shifts,Star formation rates,A,Stellar aberration is the apparent change in star positions due to Earth's orbital motion around the Sun.,en
astro_00098,Small Solar System Bodies,3,What is sublimation in the context of comets?,Melting of ice,Direct transition from ice to gas,Freezing of gas,Condensation of vapor,B,Sublimation is the direct transition of ice to gas without melting which creates a comet's coma and tail.,en
astro_00099,Galaxies & Cosmology,7,"What is the ""Great Filter"" theory in relation to the Fermi Paradox?",A space telescope filter,A barrier preventing civilizations from advancing,A method of detecting aliens,A type of cosmic radiation,B,The Great Filter theory suggests there's a nearly insurmountable barrier that prevents most civilizations from reaching advanced stages.,en
astro_00100,Galaxies & Cosmology,4,"What is the ""Where is everybody?"" question attributed to?",Carl Sagan,Frank Drake,Enrico Fermi,Stephen Hawking,C,"Enrico Fermi famously asked ""Where is everybody?"" during a lunch conversation in 1950 leading to the Fermi Paradox.",en
astro_00101,Space Observation,7,What is the advantage of space-based gravitational wave detectors?,No atmospheric interference,Longer baselines,Better isolation from vibrations,All of the above,D,Space-based detectors like LISA will have all these advantages over ground-based gravitational wave detectors.,en
astro_00102,Space Observation,7,What is the advantage of space-based telescopes?,No atmospheric interference,Larger mirrors possible,Lower construction costs,Easier maintenance,A,Space-based telescopes avoid atmospheric interference allowing clearer observations across all wavelengths.,en
astro_00103,Galaxies & Cosmology,8,What is the Aestivation Hypothesis?,Aliens hibernate,Aliens wait for better conditions,Aliens sleep through winter,Aliens are dormant,B,The Aestivation Hypothesis suggests advanced civilizations might be waiting for the universe to cool down for more efficient computation.,en
astro_00104,Relativity & Fundamental Physics,8,What is the Alcubierre metric?,Spacetime geometry for faster-than-light travel,Black hole interior geometry,Wormhole geometry,Cosmological spacetime,A,The Alcubierre metric describes a spacetime geometry that could theoretically allow faster-than-light travel.,en
astro_00105,General Curiosities,7,What is the anthropic principle?,Universe appears fine-tuned for life,Humans are central to universe,Life is inevitable everywhere,Intelligence always emerges,A,The anthropic principle suggests the universe's physical constants appear fine-tuned to allow the existence of life.,en
astro_00106,Space Missions,8,What is the Artemis program's ultimate goal?,Return to the Moon,Go to Mars,Build space stations,Mine asteroids,A,The Artemis program aims to return humans to the Moon and establish a sustainable lunar presence.,en
astro_00107,Small Solar System Bodies,2,What is the asteroid belt?,A region between Earth and Mars,A region between Mars and Jupiter,A region beyond Neptune,A region around Saturn,B,The asteroid belt is located between Mars and Jupiter and contains most of the Solar System's asteroids.,en
astro_00108,Space Observation,6,What is the Atacama Large Millimeter Array (ALMA)?,Radio telescope array,Optical telescope,X-ray observatory,Gamma-ray detector,A,ALMA is a radio telescope array observing millimeter and submillimeter wavelengths.,en
astro_00109,Galaxies & Cosmology,7,What is the Berserker Hypothesis?,Self-replicating machines destroy life,Aliens are warriors,Space is dangerous,Civilizations become aggressive,A,The Berserker Hypothesis suggests that self-replicating machines systematically destroy biological life throughout the galaxy.,en
astro_00110,Worlds Beyond,9,What is the biosignature detection challenge?,Distinguishing biological from geological processes,Finding planets with atmospheres,Measuring atmospheric composition,Detecting water vapor,A,The main challenge is distinguishing biosignatures produced by life from those created by geological processes.,en
astro_00111,Stellar Objects,7,What is the black hole entropy formula?,S = A/4G,S = kA/4ℏc,S = A/4ℏG,S = kA/4G,C,Black hole entropy is S = A/4ℏG where A is the area of the event horizon in Planck units.,en
astro_00112,Relativity & Fundamental Physics,10,What is the black hole information paradox related to?,Quantum mechanics and general relativity,Special and general relativity,Thermodynamics and gravity,Electromagnetism and gravity,A,The information paradox arises from conflicts between quantum mechanics and general relativity at black hole event horizons.,en
astro_00113,Stellar Objects,5,What is the boundary around a black hole called?,Photon ring,Event horizon,Accretion disk,Singularity,B,The event horizon is the point beyond which nothing can escape a black hole.,en
astro_00114,Relativity & Fundamental Physics,9,What is the Brans-Dicke theory?,Alternative theory of gravity,Quantum gravity theory,Unified field theory,String theory extension,A,Brans-Dicke theory is an alternative to general relativity that includes a scalar field coupled to gravity.,en
astro_00115,Space Missions,7,What is the Breakthrough Starshot initiative?,Mars colonization,Interstellar probe mission,Asteroid mining,Solar power satellites,B,Breakthrough Starshot aims to send tiny probes to Proxima Centauri using light sails and powerful lasers.,en
astro_00116,Space Missions,7,What is the Breakthrough Starshot's target speed?,5% speed of light,10% speed of light,20% speed of light,50% speed of light,C,Breakthrough Starshot aims to accelerate tiny probes to 20% the speed of light using powerful lasers.,en
astro_00117,Galaxies & Cosmology,8,What is the Butcher-Oemler effect?,Evolution of galaxy clusters,Galaxy merger rates,Stellar population changes,Dark matter interactions,A,The Butcher-Oemler effect is the observation that distant galaxy clusters contain more blue star-forming galaxies.,en
astro_00118,Relativity & Fundamental Physics,8,What is the Chandrasekhar limit?,Maximum size of a galaxy,Minimum temperature for fusion,Mass limit for white dwarfs,Limit for light speed,C,"White dwarfs cannot exceed ~1.4 solar masses—above this, they collapse into neutron stars or Stellar Objects.",en
astro_00119,Stellar Objects,10,What is the Chandrasekhar-Schönberg limit?,Maximum helium core mass in main sequence stars,Maximum white dwarf mass,Maximum neutron star mass,Maximum black hole spin,A,The Chandrasekhar-Schönberg limit is about 10% of the star's mass the maximum helium core mass before the star leaves main sequence.,en
astro_00120,Stellar Objects,4,What is the closest star to Earth after the Sun?,Sirius,Vega,Proxima Centauri,Betelgeuse,C,"Proxima Centauri, part of the Alpha Centauri system, is the closest star to Earth at about 4.24 light-years away.",en
astro_00121,Stellar Objects,3,What is the closest star to Earth?,Proxima Centauri,Sirius,Alpha Centauri A,The Sun,D,"The Sun is the closest star to Earth, about 150 million km away.",en
astro_00122,General Curiosities,7,What is the coldest place in the Solar System?,Pluto's surface,Neptune's atmosphere,The Moon's poles,Triton's surface,D,Triton Neptune's largest moon has surface temperatures as low as -235°C making it the coldest place in the Solar System.,en
astro_00123,Space Observation,8,What is the collecting area advantage?,More light gathering power,Better resolution,Faster observations,Cheaper operation,A,Larger collecting area provides more light gathering power enabling observation of fainter objects.,en
astro_00124,Small Solar System Bodies,10,What is the collisional cascade?,Process of asteroid fragmentation,Comet formation mechanism,Planetary ring dynamics,Meteorite shower creation,A,The collisional cascade is the process where asteroid collisions create fragments that undergo further collisions.,en
astro_00125,Small Solar System Bodies,5,What is the coma of a comet?,The nucleus,The tail,The atmosphere around the nucleus,The orbit,C,The coma is the atmosphere of gas and dust that forms around a comet's nucleus when it approaches the Sun.,en
astro_00126,Solar System,3,What is the composition of Titan's atmosphere?,Mostly oxygen,Mostly nitrogen,Mostly methane,Mostly carbon dioxide,B,Titan's atmosphere is about 95% nitrogen with small amounts of methane and other hydrocarbons.,en
astro_00127,Galaxies & Cosmology,5,"What is the concept of a ""Great Filter""?",A cosmic event,A barrier to advanced civilization,A type of telescope,A method of communication,B,The Great Filter is a hypothetical barrier that prevents most life from evolving to become spacefaring civilizations.,en
astro_00128,General Curiosities,3,What is the cosmic microwave background temperature?,2.7 Kelvin,0 Kelvin,273 Kelvin,3000 Kelvin,A,The cosmic microwave background has a nearly uniform temperature of about 2.7 Kelvin.,en
astro_00129,Galaxies & Cosmology,9,What is the cosmic web?,Galaxy distribution pattern,Star formation pattern,Planet formation pattern,Black hole distribution,A,The cosmic web is the largest-scale structure of the universe showing how galaxies are distributed.,en
