baseId,topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation,language,question_pt,optionA_pt,optionB_pt,optionC_pt,optionD_pt,explanation_pt,topic_pt,question_es,optionA_es,optionB_es,optionC_es,optionD_es,explanation_es,topic_es,question_fr,optionA_fr,optionB_fr,optionC_fr,optionD_fr,explanation_fr,topic_fr
astro_00011,General Curiosities,3,How many galaxies are estimated to be in the observable universe?,Millions,Billions,Hundreds of billions,Trillions,D,Current estimates suggest there are over 2 trillion galaxies in the observable universe.,en,Quantas galáxias estima-se que existam no universo observável?,Milhões de dólares,Bilhões,Centenas de bilhões,Trilhões,As estimativas atuais sugerem que há mais de 2 trilhões de galáxias no universo observável.,Curiosidades gerais,¿Cuántas galaxias se estima que hay en el universo observable?,Millones,Miles de millones,Cientos de miles de millones,Trillones,Las estimaciones actuales sugieren que hay más de 2 billones de galaxias en el universo observable.,Curiosidades generales,Combien de galaxies sont estimées dans l'univers observable ?,Millions d'euros,Milliards,Des centaines de milliards,Trillions,"Selon les estimations actuelles, l'univers observable compterait plus de 2 000 milliards de galaxies.",Curiosités générales
astro_00012,Solar System,2,How many moons does Jupiter have according to the latest 2024 NASA data?,79,82,95,103,C,"Jupiter has 95 moons according to the latest 2024 NASA data, making it the planet with the most known moons.",en,"Quantas luas Júpiter tem, de acordo com os dados mais recentes da NASA de 2024?",79,82,95,103,"Júpiter tem 95 luas, de acordo com os dados mais recentes da NASA de 2024, o que o torna o planeta com o maior número de luas conhecidas.",Sistema Solar,¿Cuántas lunas tiene Júpiter según los últimos datos de la NASA de 2024?,79,82,95,103,"Júpiter tiene 95 lunas según los últimos datos de la NASA de 2024, lo que lo convierte en el planeta con más lunas conocidas.",Sistema Solar,Combien de lunes Jupiter possède-t-elle d'après les dernières données de la NASA pour 2024 ?,79,82,95,103,"Jupiter possède 95 lunes selon les dernières données de la NASA de 2024, ce qui en fait la planète ayant le plus grand nombre de lunes connues.",Système solaire
astro_00013,Solar System,2,How many moons does Saturn have according to current data?,62,72,82,92,C,Saturn has 82 known moons according to current astronomical data.,en,"Quantas luas Saturno tem, de acordo com os dados atuais?",62,72,82,92,"Saturno tem 82 luas conhecidas, de acordo com os dados astronômicos atuais.",Sistema Solar,¿Cuántas lunas tiene Saturno según los datos actuales?,62,72,82,92,Saturno tiene 82 lunas conocidas según los datos astronómicos actuales.,Sistema Solar,Combien de lunes Saturne possède-t-elle d'après les données actuelles ?,62,72,82,92,Saturne compte 82 lunes connues selon les données astronomiques actuelles.,Système solaire
astro_00014,Worlds Beyond,3,How many new alien worlds were discovered by astronomers in 2025?,Over 50,Over 75,Over 100,Over 150,C,"Astronomers discovered over 100 new alien worlds in 2025, showcasing the vast diversity of planetary systems.",en,Quantos novos mundos alienígenas foram descobertos pelos astrônomos em 2025?,Mais de 50,Mais de 75 anos,Mais de 100,Mais de 150,"Os astrônomos descobriram mais de 100 novos mundos alienígenas em 2025, mostrando a vasta diversidade de sistemas planetários.",Mundos além,¿Cuántos nuevos mundos alienígenas descubrieron los astrónomos en 2025?,Más de 50 años,Más de 75 años,Más de 100,Más de 150,"Los astrónomos descubrieron más de 100 nuevos mundos alienígenas en 2025, lo que demuestra la enorme diversidad de los sistemas planetarios.",Mundos más allá,Combien de nouveaux mondes extraterrestres ont été découverts par les astronomes en 2025 ?,Plus de 50 ans,Plus de 75 ans,Plus de 100,Plus de 150,"Les astronomes ont découvert plus de 100 nouveaux mondes extraterrestres en 2025, ce qui témoigne de la grande diversité des systèmes planétaires.",Les mondes au-delà
astro_00015,General Curiosities,3,How many officially recognized constellations are there?,48,88,108,144,B,There are 88 officially recognized constellations as defined by the International Astronomical Union.,en,Quantas constelações oficialmente reconhecidas existem?,48,88,108,144,"Há 88 constelações oficialmente reconhecidas, conforme definido pela União Astronômica Internacional.",Curiosidades gerais,¿Cuántas constelaciones oficialmente reconocidas hay?,48,88,108,144,Existen 88 constelaciones oficialmente reconocidas por la Unión Astronómica Internacional.,Curiosidades generales,Combien y a-t-il de constellations officiellement reconnues ?,48,88,108,144,"Il existe 88 constellations officiellement reconnues, telles que définies par l'Union astronomique internationale.",Curiosités générales
astro_00016,General Curiosities,2,How old is the Universe approximately?,4.6 billion years,13.8 billion years,20 billion years,100 billion years,B,"The Universe is approximately 13.8 billion years old, based on observations of the cosmic microwave background.",en,Qual é a idade aproximada do Universo?,"4,6 bilhões de anos","13,8 bilhões de anos",20 bilhões de anos,100 bilhões de anos,"O Universo tem aproximadamente 13,8 bilhões de anos, com base em observações do fundo cósmico de micro-ondas.",Curiosidades gerais,¿Cuántos años tiene aproximadamente el Universo?,4.600 millones de años,13.800 millones de años,20 mil millones de años,100 mil millones de años,"El Universo tiene aproximadamente 13.800 millones de años, según las observaciones del fondo cósmico de microondas.",Curiosidades generales,Quel est l'âge approximatif de l'univers ?,"4,6 milliards d'années","13,8 milliards d'années",20 milliards d'années,100 milliards d'années,"L'Univers est âgé d'environ 13,8 milliards d'années, d'après les observations du fond diffus cosmologique.",Curiosités générales
astro_00017,Solar System,3,In which crater did the Perseverance rover land on Mars?,Gale Crater,Jezero Crater,Victoria Crater,Eagle Crater,B,NASA's Perseverance rover landed in Jezero Crater in February 2021 to search for signs of ancient life.,en,Em que cratera o rover Perseverance pousou em Marte?,Cratera Gale,Cratera Jezero,Cratera Victoria,Cratera Eagle,O rover Perseverance da NASA aterrissou na cratera Jezero em fevereiro de 2021 para procurar sinais de vida antiga.,Sistema Solar,¿En qué cráter aterrizó el explorador Perseverance en Marte?,Cráter Gale,Cráter Jezero,Cráter Victoria,Cráter del Águila,El vehículo explorador Perseverance de la NASA aterrizó en el cráter Jezero en febrero de 2021 para buscar señales de vida antigua.,Sistema Solar,Dans quel cratère le rover Persévérance a-t-il atterri sur Mars ?,Cratère de Gale,Cratère de Jezero,Cratère Victoria,Cratère de l'aigle,Le rover Persévérance de la NASA s'est posé dans le cratère Jezero en février 2021 pour y rechercher des signes de vie ancienne.,Système solaire
astro_00018,Small Solar System Bodies,4,What are carbonaceous chondrites?,Primitive meteorites with organic compounds,Iron meteorites,Stony meteorites,Martian meteorites,A,Carbonaceous chondrites are primitive meteorites containing organic compounds and water-bearing minerals.,en,O que são condritos carbonáceos?,Meteoritos primitivos com compostos orgânicos,Meteoritos de ferro,Meteoritos pedregosos,Meteoritos marcianos,Os condritos carbonáceos são meteoritos primitivos que contêm compostos orgânicos e minerais que contêm água.,Pequenos corpos do sistema solar,¿Qué son las condritas carbonosas?,Meteoritos primitivos con compuestos orgánicos,Meteoritos de hierro,Meteoritos pétreos,Meteoritos marcianos,Las condritas carbonosas son meteoritos primitivos que contienen compuestos orgánicos y minerales acuíferos.,Cuerpos pequeños del Sistema Solar,Qu'est-ce qu'une chondrite carbonée ?,Météorites primitives contenant des composés organiques,Météorites de fer,Météorites pierreuses,Météorites martiennes,Les chondrites carbonées sont des météorites primitives contenant des composés organiques et des minéraux contenant de l'eau.,Petits corps du système solaire
astro_00019,Small Solar System Bodies,2,What are comets primarily made of?,Rock and metal,Ice and dust,Gas and plasma,Pure ice,B,"Comets are ""dirty snowballs"" made primarily of ice, dust, and rocky material from the outer Solar System.",en,De que são feitos os cometas?,Rock e metal,Gelo e poeira,Gás e plasma,Gelo puro,"Os cometas são ""bolas de neve sujas"" feitas principalmente de gelo, poeira e material rochoso do Sistema Solar externo.",Pequenos corpos do sistema solar,What are comets primarily made of?,Rock y metal,Hielo y polvo,Gas y plasma,Hielo puro,"Los cometas son ""bolas de nieve sucias"" formadas principalmente por hielo, polvo y material rocoso procedente del Sistema Solar exterior.",Cuerpos pequeños del Sistema Solar,De quoi les comètes sont-elles principalement composées ?,Rock et métal,Glace et poussière,Gaz et plasma,Glace pure,"Les comètes sont des ""boules de neige sales"" composées principalement de glace, de poussière et de matériaux rocheux provenant du système solaire externe.",Petits corps du système solaire
astro_00020,Relativity & Fundamental Physics,8,What are gravitational waves?,Waves in space,Ripples in spacetime,Sound waves in space,Light waves bent by gravity,B,Gravitational waves are ripples in spacetime itself caused by accelerating massive objects.,en,O que são ondas gravitacionais?,Ondas no espaço,Ondulações no espaço-tempo,Ondas sonoras no espaço,Ondas de luz curvadas pela gravidade,As ondas gravitacionais são ondulações no próprio espaço-tempo causadas pela aceleração de objetos maciços.,Relatividade e física fundamental,What are gravitational waves?,Ondas en el espacio,Ondulaciones en el espaciotiempo,Ondas sonoras en el espacio,Ondas de luz curvadas por la gravedad,Las ondas gravitacionales son ondulaciones en el propio espaciotiempo causadas por la aceleración de objetos masivos.,Relatividad y física fundamental,Que sont les ondes gravitationnelles ?,Ondes dans l'espace,Ondes dans l'espace-temps,Les ondes sonores dans l'espace,Les ondes lumineuses pliées par la gravité,Les ondes gravitationnelles sont des ondulations de l'espace-temps causées par l'accélération d'objets massifs.,Relativité et physique fondamentale
astro_00021,Stellar Objects,4,What are the two main types of molecular clouds associated with star formation?,Giant and dwarf molecular clouds,Hot and cold molecular clouds,Dense and sparse molecular clouds,Young and old molecular clouds,A,Giant molecular clouds (GMCs) and dwarf molecular clouds are the two main types associated with star formation.,en,Quais são os dois principais tipos de nuvens moleculares associadas à formação de estrelas?,Nuvens moleculares gigantes e anãs,Nuvens moleculares quentes e frias,Nuvens moleculares densas e esparsas,Nuvens moleculares novas e antigas,As nuvens moleculares gigantes (GMCs) e as nuvens moleculares anãs são os dois principais tipos associados à formação de estrelas.,Objetos estelares,What are the two main types of molecular clouds associated with star formation?,Nubes moleculares gigantes y enanas,Nubes moleculares frías y calientes,Nubes moleculares densas y dispersas,Nubes moleculares jóvenes y viejas,Las nubes moleculares gigantes (GMC) y las nubes moleculares enanas son los dos tipos principales asociados a la formación estelar.,Objetos estelares,Quels sont les deux principaux types de nuages moléculaires associés à la formation des étoiles ?,Nuages moléculaires géants et nains,Nuages moléculaires chauds et froids,Nuages moléculaires denses et épars,Nuages moléculaires jeunes et vieux,Les nuages moléculaires géants (GMC) et les nuages moléculaires nains sont les deux principaux types de nuages associés à la formation d'étoiles.,Objets stellaires
astro_00022,Small Solar System Bodies,6,What are Trojan asteroids?,Asteroids that follow planets,Asteroids from Troy,Asteroids that orbit backwards,Asteroids made of metal,A,Trojan asteroids share an orbit with a planet staying at stable Lagrange points 60 degrees ahead or behind.,en,O que são asteroides troianos?,Asteroides que seguem planetas,Asteroides de Troia,Asteroides que orbitam para trás,Asteroides feitos de metal,"Os asteroides troianos compartilham uma órbita com um planeta, permanecendo em pontos de Lagrange estáveis 60 graus à frente ou atrás.",Pequenos corpos do sistema solar,¿Qué son los asteroides troyanos?,Asteroides que siguen a planetas,Asteroides de Troya,Asteroides que orbitan al revés,Asteroides de metal,Los asteroides troyanos comparten una órbita con un planeta permaneciendo en puntos de Lagrange estables 60 grados por delante o por detrás.,Cuerpos pequeños del Sistema Solar,Qu'est-ce qu'un astéroïde troyen ?,Les astéroïdes qui suivent les planètes,Astéroïdes de Troie,Astéroïdes en orbite inversée,Astéroïdes en métal,Les astéroïdes troyens partagent une orbite avec une planète en restant à des points de Lagrange stables à 60 degrés en avant ou en arrière.,Petits corps du système solaire
astro_00023,Relativity & Fundamental Physics,8,What astronomical phenomenon provided the first confirmation of general relativity?,Solar eclipse observations,Planetary motion,Star formation,Galaxy rotation,A,"The 1919 solar eclipse observations showed light bending around the Sun, confirming Einstein's prediction of gravitational lensing.",en,Qual fenômeno astronômico forneceu a primeira confirmação da relatividade geral?,Observações do eclipse solar,Movimento planetário,Formação de estrelas,Rotação da galáxia,"As observações do eclipse solar de 1919 mostraram a curvatura da luz ao redor do Sol, confirmando a previsão de Einstein sobre as lentes gravitacionais.",Relatividade e física fundamental,¿Qué fenómeno astronómico proporcionó la primera confirmación de la relatividad general?,Observaciones del eclipse solar,Movimiento planetario,Formación estelar,Rotación de galaxias,"Las observaciones del eclipse solar de 1919 mostraron que la luz se curvaba alrededor del Sol, confirmando la predicción de Einstein sobre las lentes gravitacionales.",Relatividad y física fundamental,Quel phénomène astronomique a fourni la première confirmation de la relativité générale ?,Observations de l'éclipse solaire,Mouvement planétaire,Formation des étoiles,Rotation de la galaxie,"Les observations de l'éclipse solaire de 1919 ont montré que la lumière se courbait autour du Soleil, confirmant la prédiction d'Einstein sur l'effet de lentille gravitationnelle.",Relativité et physique fondamentale
astro_00024,Solar System,6,What causes the auroras on Jupiter?,Solar wind interaction,Volcanic activity on Io,Jupiter's rapid rotation,Gravitational tidal forces,A,Jupiter's auroras are caused by charged particles from the solar wind interacting with Jupiter's powerful magnetic field.,en,O que causa as auroras em Júpiter?,Interação com o vento solar,Atividade vulcânica em Io,A rápida rotação de Júpiter,Forças de maré gravitacionais,As auroras de Júpiter são causadas por partículas carregadas do vento solar que interagem com o poderoso campo magnético de Júpiter.,Sistema solar,¿Qué causa las auroras en Júpiter?,Interacción del viento solar,Actividad volcánica en Io,La rápida rotación de Júpiter,Fuerzas gravitatorias de marea,Las auroras de Júpiter están causadas por partículas cargadas procedentes del viento solar que interactúan con el potente campo magnético de Júpiter.,Sistema Solar,Quelle est la cause des aurores sur Jupiter ?,Interaction avec le vent solaire,Activité volcanique sur Io,La rotation rapide de Jupiter,Forces de marée gravitationnelles,Les aurores de Jupiter sont causées par des particules chargées provenant du vent solaire qui interagissent avec le puissant champ magnétique de Jupiter.,Système solaire
astro_00025,Stellar Objects,5,What color are the hottest stars?,Red,Yellow,White,Blue,D,"The hottest stars appear blue or blue-white, with surface temperatures exceeding 30,000 Kelvin.",en,De que cor são as estrelas mais quentes?,Vermelho,Amarelo,Branco,Azul,"As estrelas mais quentes parecem azuis ou branco-azuladas, com temperaturas de superfície superiores a 30.000 Kelvin.",Objetos estelares,¿De qué color son las estrellas más calientes?,Rojo,Amarillo,Blanco,Azul,"Las estrellas más calientes aparecen azules o blanco-azuladas, con temperaturas superficiales superiores a 30.000 Kelvin.",Objetos estelares,De quelle couleur sont les étoiles les plus chaudes ?,Rouge,Jaune,Blanc,Bleu,"Les étoiles les plus chaudes apparaissent bleues ou bleu-blanc, avec des températures de surface supérieures à 30 000 kelvins.",Objets stellaires
astro_00026,Solar System,5,What connects Saturn's E ring to one of its moons?,Titan's atmosphere,Enceladus' geysers,Mimas' craters,Rhea's orbit,B,Saturn's E ring is connected to Enceladus through the moon's geyser activity that feeds particles into the ring.,en,O que conecta o anel E de Saturno a uma de suas luas?,Atmosfera de Titã,Gêiseres de Enceladus,Crateras de Mimas,A órbita de Rhea,"O anel E de Saturno está conectado a Encélado por meio da atividade de gêiseres da lua, que alimenta o anel com partículas.",Sistema Solar,¿Qué conecta el anillo E de Saturno con una de sus lunas?,La atmósfera de Titán,Los géiseres de Encélado,Los cráteres de Mimas,Órbita de Rea,"El anillo E de Saturno está conectado a Encélado a través de la actividad de los géiseres de la luna, que introducen partículas en el anillo.",Sistema Solar,Qu'est-ce qui relie l'anneau E de Saturne à l'une de ses lunes ?,L'atmosphère de Titan,Les geysers d'Encelade,Cratères de Mimas,L'orbite de Rhéa,L'anneau E de Saturne est relié à Encelade par l'activité du geyser de la lune qui alimente l'anneau en particules.,Système solaire
astro_00027,Stellar Objects,6,What determines whether a core-collapse supernova is classified as Type II Ib or Ic?,The star's age,The star's temperature,The progenitor star's outer layers,The explosion energy,C,Core-collapse supernovae are classified based on the progenitor star's characteristics and outer hydrogen layers.,en,O que determina se uma supernova de colapso do núcleo é classificada como Tipo II Ib ou Ic?,A idade da estrela,A temperatura da estrela,As camadas externas da estrela progenitora,A energia da explosão,As supernovas de colapso do núcleo são classificadas com base nas características da estrela progenitora e nas camadas externas de hidrogênio.,Objetos estelares,¿Qué determina que una supernova de colapso del núcleo se clasifique como de tipo II Ib o Ic?,La edad de la estrella,La temperatura de la estrella,Las capas externas de la estrella progenitora,La energía de la explosión,Las supernovas de colapso del núcleo se clasifican en función de las características de la estrella progenitora y de las capas externas de hidrógeno.,Objetos estelares,Qu'est-ce qui détermine si une supernova à effondrement du noyau est classée dans le type II Ib ou Ic ?,L'âge de l'étoile,La température de l'étoile,Les couches externes de l'étoile progénitrice,L'énergie de l'explosion,Les supernovae à effondrement du noyau sont classées en fonction des caractéristiques de l'étoile progénitrice et des couches d'hydrogène externes.,Objets stellaires
astro_00028,Relativity & Fundamental Physics,7,What did Einstein's general theory of relativity predict about space and time?,They are separate entities,They form a unified spacetime,They don't exist,They are illusions,B,General relativity describes space and time as a unified four-dimensional spacetime that can be curved by mass and energy.,en,O que a teoria geral da relatividade de Einstein previu sobre o espaço e o tempo?,Elas são entidades separadas,Eles formam um espaço-tempo unificado,Eles não existem,São ilusões,A relatividade geral descreve o espaço e o tempo como um espaço-tempo unificado de quatro dimensões que pode ser curvado pela massa e pela energia.,Relatividade e física fundamental,¿Qué predecía la teoría general de la relatividad de Einstein sobre el espacio y el tiempo?,Son entidades separadas,Forman un espaciotiempo unificado,No existen,Son ilusiones,La relatividad general describe el espacio y el tiempo como un espaciotiempo unificado de cuatro dimensiones que puede ser curvado por la masa y la energía.,Relatividad y física fundamental,Que prévoyait la théorie générale de la relativité d'Einstein à propos de l'espace et du temps ?,Il s'agit d'entités distinctes,Ils forment un espace-temps unifié,Ils n'existent pas,Ce sont des illusions,La relativité générale décrit l'espace et le temps comme un espace-temps unifié à quatre dimensions qui peut être courbé par la masse et l'énergie.,Relativité et physique fondamentale
