"ID","Topic","Level","Question","OptionA","OptionB","OptionC","OptionD","CorrectOption","Explanation"
"NJThbMhlwGZ80QVtnjXj","Black Holes","2","What happens if you cross the event horizon of a black hole?","","","","","C","The event horizon is the point of no return—nothing escapes beyond it."
"wTswhFRE55XQHZrUsBzS","Black Holes","2","What lies at the center of a black hole?","","","","","C","The singularity is a point of infinite density at the center of a black hole."
"xghHtUYUgusXOEob9rqX","Black Holes","2","What is a black hole?","","","","","A","A black hole has gravity so intense that not even light can escape it."
"N2mkm8tTtAZ75jj4vO2f","Drake Equation","2","What is the Drake Equation used to estimate?","","","","","C","It estimates the number of civilizations in the galaxy that might communicate with us."
"PgwgwdnEeuQenY8PhuMR","Estrelas","2","O que é uma supernova?","","","","","C","Uma supernova ocorre quando uma estrela massiva colapsa."
"kHCph34iBlUs7Q5PiChn","Estrelas","2","Qual a cor de uma estrela mais quente?","","","","","B","Estrelas azuis são as mais quentes."
"FXnHa5Q9pc2m0P1urfT5","Fermi Paradox","2","What does the Fermi Paradox question?","","","","","B","It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe."
"jr0UmNCaFAH6EmOj9YGv","Fermi Paradox","2","What does the Fermi Paradox question?","","","","","B","It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe."
"6Z27hwFhZY69c3dB7IUx","Missões Espaciais","2","Qual foi o primeiro satélite artificial lançado?","","","","","C","Sputnik 1 foi lançado pela URSS em 1957."
"TEtlL0HTGyQ8glxTvC52","Observatories","2","Where is the Hubble Space Telescope located?","","","","","C","Hubble orbits Earth in space for a clear view of the universe."
"gsEoAjqrx2ObogNr9kLz","Observatories","2","Where is the Hubble Space Telescope located?","","","","","C","Hubble orbits Earth in space for a clear view of the universe."
"H43ZhOIokR844Nk3SfXC","scientists","2","Who is known for the laws of motion and universal gravitation?","","","","","C","Newton's laws laid the foundation for classical mechanics."
"zuxPPoEQmDqeQgik5w0F","scientists","2","Who is known for the laws of motion and universal gravitation?","","","","","C","Newton's laws laid the foundation for classical mechanics."
"A3iFjLE0a7MmtVMLSD9d","Solar System","2","Which planet is known as the Red Planet?","","","","","B","Mars is called the Red Planet due to its reddish appearance caused by iron oxide."
"OXNLY0GK2SrPi9C5RiB3","Space Missions","2","Which mission first landed humans on the Moon?","","","","","A","Apollo 11 landed Neil Armstrong and Buzz Aldrin on the Moon in 1969."
"xwpopudEPdwZsIFUxcxs","Stars","2","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"7FJghYTz53l560M2rXRc","Black Holes","3","What lies at the center of a black hole?","","","","","C","The singularity is a point of infinite density at the center of a black hole."
"HmoFQuQuolnE1PXrrJ3l","Black Holes","3","What is a black hole?","","","","","A","A black hole has gravity so intense that not even light can escape it."
"I6LGaXyrjbmkzRJiSoDj","Black Holes","3","How are stellar-mass black holes formed?","","","","","B","Stellar-mass black holes form when massive stars collapse after a supernova."
"odlaUKzY125JZOOjAXKp","Black Holes","3","What happens if you cross the event horizon of a black hole?","","","","","C","The event horizon is the point of no return—nothing escapes beyond it."
"sRdhWBbNrt1sV6mEjRXm","Black Holes","3","What is the name of the boundary around a black hole?","","","","","B","The event horizon marks the boundary beyond which nothing can escape a black hole."
"4AsecM6MjYyRa0ZmELnG","Comets and Asteroids","3","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"rMybHy9k4Sh0ZsCScu3p","Comets and Asteroids","3","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"1hiiDZrzutzVJXFxG41t","Curiosities","3","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"sevZCW0fD9XzfolqR5MN","Curiosities","3","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"43LtLYP2csvb6XeFqXK9","Drake Equation","3","What is the Drake Equation used to estimate?","","","","","C","It estimates the number of civilizations in the galaxy that might communicate with us."
"gW9Eb5heyKEHLI15lChw","Fermi Paradox","3","What does the Fermi Paradox question?","","","","","B","It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe."
"umZDwqo6nOYGTCO7zsAO","Foguetes","3","Qual combustível é comum em foguetes modernos?","","","","","B","Hidrogênio líquido é leve e muito eficiente."
"myjYiawnnw2464Uw6Onb","Galáxias","3","A Via Láctea é um exemplo de que tipo de galáxia?","","","","","C","A Via Láctea é uma galáxia espiral."
"B6FzTBdad0R4bz8fwCA0","Galaxies","3","What type of galaxy is the Milky Way?","","","","","A","The Milky Way is a barred spiral galaxy."
"g1OgONotVPJEDZUigqLH","Galaxies","3","What type of galaxy is the Milky Way?","","","","","A","The Milky Way is a barred spiral galaxy."
"PVXLAV5BHTaThOea9R0O","Solar System","3","Which planet is known as the Red Planet?","","","","","B","Mars is called the Red Planet due to its reddish appearance caused by iron oxide."
"RHSFo0hKBxAnkGpjYZu2","Solar System","3","Which planet is known as the Red Planet?","","","","","B","Mars is called the Red Planet due to its reddish appearance caused by iron oxide."
"AWIVJ6Ym3r4kYYiLLzBu","Space Missions","3","Which mission first landed humans on the Moon?","","","","","A","Apollo 11 landed Neil Armstrong and Buzz Aldrin on the Moon in 1969."
"dwEjR2jNfDCaEOkpUbhS","Space Missions","3","Which mission first landed humans on the Moon?","","","","","A","Apollo 11 landed Neil Armstrong and Buzz Aldrin on the Moon in 1969."
"gZ6e3dW2R5H13VPFutwl","Stars","3","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"wiKtNEDp7pozmzyrHzM5","Stars","3","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"Ko2FliH0ZlC0GFATsNDW","Buracos Negros","4","O que é o horizonte de eventos?","","","","","B","É o ponto sem retorno de um buraco negro."
"b2fwKifoX4vtaQIi4wfE","Comets and Asteroids","4","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"OFbQN5W6NkFj6eGNWEud","Curiosities","4","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"E08c0fNVLpmZ4BCsZ97U","Fermi Paradox","4","What does the Fermi Paradox question?","","","","","B","It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe."
"ynHlCBwraPtQt5LOEfbx","Fermi Paradox","4","What does the Fermi Paradox question?","","","","","B","It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe."
"krLGnDbmlwlbqDT2yp6e","Observatories","4","Where is the Hubble Space Telescope located?","","","","","C","Hubble orbits Earth in space for a clear view of the universe."
"o394ucpAhRc809LQcMte","Relativity","4","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"ZjuvmDk8mo42maTrEFZ6","scientists","4","Who is known for the laws of motion and universal gravitation?","","","","","C","Newton's laws laid the foundation for classical mechanics."
"8j7yazdv7hJVBKvWzIWc","Curiosities","5","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"Yiilb95VcFiwtUuWe5Oy","Curiosities","5","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"jIEyhj7lzomncCS5LypD","Drake Equation","5","What is the Drake Equation used to estimate?","","","","","C","It estimates the number of civilizations in the galaxy that might communicate with us."
"qfx4RL0lZZSejLBG5tpG","Exoplanets","5","What is an exoplanet?","","","","","C","Exoplanets are planets that orbit stars beyond our Solar System."
"uRgftlymOC1CRCe3NFQj","Observatories","5","Where is the Hubble Space Telescope located?","","","","","C","Hubble orbits Earth in space for a clear view of the universe."
"bDzdCxa5gCxASsebzees","Relatividade Geral","5","O que a teoria da relatividade geral descreve?","","","","","C","A gravidade é explicada como curvatura do espaço-tempo."
"jTuOwbOXOSo3yjXU7xG5","Relativity","5","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"qusWYpGKtRjyex0E7spd","Solar System","5","Which planet is known as the Red Planet?","","","","","B","Mars is called the Red Planet due to its reddish appearance caused by iron oxide."
"FNI1NubjpLneU3sLUe92","Comets and Asteroids","6","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"cio8wEEE28NrFN1ry7sU","Comets and Asteroids","6","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"FeT4KDPnk85f5NcUG2ZN","Curiosities","6","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"lN4e8rj16jdV9NDH3S0M","Curiosities","6","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"obDd4xOQx08fRoBHXKLB","Drake Equation","6","What is the Drake Equation used to estimate?","","","","","C","It estimates the number of civilizations in the galaxy that might communicate with us."
"flDfGlE9Ic8bwdblDgqq","Exoplanets","6","What is an exoplanet?","","","","","C","Exoplanets are planets that orbit stars beyond our Solar System."
"hYKBpkUhuUTFiIykjszn","Exoplanets","6","What is an exoplanet?","","","","","C","Exoplanets are planets that orbit stars beyond our Solar System."
"DfSQabMaHTHZD0Zc9UzC","Galaxies","6","What type of galaxy is the Milky Way?","","","","","A","The Milky Way is a barred spiral galaxy."
"Txjb95mw1oLzjtM6rrec","Observatories","6","Where is the Hubble Space Telescope located?","","","","","C","Hubble orbits Earth in space for a clear view of the universe."
"dtKmvNtrBaTK7XA9Me8D","Observatories","6","Where is the Hubble Space Telescope located?","","","","","C","Hubble orbits Earth in space for a clear view of the universe."
"8N1T25gTtsTGYXCO0KsF","Relativity","6","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"tk3K5coOGKf7l4wkwJSh","Relativity","6","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"bDotmyhuOI1oaPLLnRjt","scientists","6","Who is known for the laws of motion and universal gravitation?","","","","","C","Newton's laws laid the foundation for classical mechanics."
"ht9IFMuvgGLiZsYpsaRu","scientists","6","Who is known for the laws of motion and universal gravitation?","","","","","C","Newton's laws laid the foundation for classical mechanics."
"1DslJHSkY02qkjsPomd0","Solar System","6","Which planet is known as the Red Planet?","","","","","B","Mars is called the Red Planet due to its reddish appearance caused by iron oxide."
"EYoJ9lbieomUpSpgHX4V","Stars","6","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"Zia8bjIJ7t0fXqGt5TPo","Galaxies","7","What type of galaxy is the Milky Way?","","","","","A","The Milky Way is a barred spiral galaxy."
"znM6QE7N2cXUJ6jhejDn","Galaxies","7","What type of galaxy is the Milky Way?","","","","","A","The Milky Way is a barred spiral galaxy."
"hu6dt2eEttkygjiaM6Mw","Observatories","7","Where is the Hubble Space Telescope located?","","","","","C","Hubble orbits Earth in space for a clear view of the universe."
"76Tpx6IPOTqA8wbAFyyq","Relativity","7","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"W0Codn4HgreCCnp1YXDO","Relativity","7","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"v37YVio7XcWSFf4YyviY","scientists","7","Who is known for the laws of motion and universal gravitation?","","","","","C","Newton's laws laid the foundation for classical mechanics."
"05wVNv1AFyZKawHXxJM9","Stars","7","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"AQHDoH3q2yV8nto4Cb74","Stars","7","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"ONEG7MMQ2k8RRdmvSSMU","Comets and Asteroids","8","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"Mr78QojDmhIgtrrYTpgZ","Curiosities","8","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"XWAyPGfpsryxhaMTlXps","Drake Equation","8","What is the Drake Equation used to estimate?","","","","","C","It estimates the number of civilizations in the galaxy that might communicate with us."
"nhIdfWDlW2cz4eYNO1Pk","Drake Equation","8","What is the Drake Equation used to estimate?","","","","","C","It estimates the number of civilizations in the galaxy that might communicate with us."
"Bwcak3YHQfyMr97fYuYr","Exoplanets","8","What is an exoplanet?","","","","","C","Exoplanets are planets that orbit stars beyond our Solar System."
"TzPSIILLsaZfh3CAh1Wc","Exoplanets","8","What is an exoplanet?","","","","","C","Exoplanets are planets that orbit stars beyond our Solar System."
"19JGG9XB5zy9ZixNQJMF","Solar System","8","Which planet is known as the Red Planet?","","","","","B","Mars is called the Red Planet due to its reddish appearance caused by iron oxide."
"Pq3RJ8oV9SVxhqXU0HkZ","Solar System","8","Which planet is known as the Red Planet?","","","","","B","Mars is called the Red Planet due to its reddish appearance caused by iron oxide."
"HhUDBaBbrDKRtgQaDiuH","Space Missions","8","Which mission first landed humans on the Moon?","","","","","A","Apollo 11 landed Neil Armstrong and Buzz Aldrin on the Moon in 1969."
"ocz3NB1jAP4Dy3V62RFq","Stars","8","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"HL3r6jBl6chMEG7vmwGF","Comets and Asteroids","9","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"KpgBcfdgDWPDTg8T1szf","Comets and Asteroids","9","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"K0ryQ8MdXuEeT44iRVMs","Curiosities","9","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"zWhW4Ool7hFksHRLYVgt","Exoplanets","9","What is an exoplanet?","","","","","C","Exoplanets are planets that orbit stars beyond our Solar System."
"iwxUTVrExqSnYlCm2FQN","Fermi Paradox","9","What does the Fermi Paradox question?","","","","","B","It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe."
"vlMK8KmixO6bnCnGjSfJ","Fermi Paradox","9","What does the Fermi Paradox question?","","","","","B","It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe."
"Q6IkyHof3iGVdXr594nU","Relativity","9","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"S8Xx1uhwWrhkcfGdOT2f","Relativity","9","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"iTndUFUXje7I7f2IFA3e","scientists","9","Who is known for the laws of motion and universal gravitation?","","","","","C","Newton's laws laid the foundation for classical mechanics."
"pmSIYljx6PUahgf5SbXZ","scientists","9","Who is known for the laws of motion and universal gravitation?","","","","","C","Newton's laws laid the foundation for classical mechanics."
"BUlGEihEoDTlJiy9LR7P","Space Missions","9","Which mission first landed humans on the Moon?","","","","","A","Apollo 11 landed Neil Armstrong and Buzz Aldrin on the Moon in 1969."
"PmmWScTD6bbvAOBJ6MUD","Stars","9","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"qcuCosQ46pGheX7ozQcq","Stars","9","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"i8QihPTh5mdK67qnx3xE","telescopes and observatories","9","Which telescope is set to replace Hubble?","","","","","A","The James Webb Telescope is designed for infrared astronomy and deeper space exploration."
"A9OFO10L0TmArDVEUyYQ","Comets and Asteroids","10","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"sABrMNaxrczQVwXpISrM","Comets and Asteroids","10","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"jRFRrckGMGKqSXaBCsTu","Curiosities","10","What is the hottest planet in the Solar System?","","","","","B","Venus has a thick atmosphere that traps heat, making it the hottest planet."
"bD6SKV20vtWVmKb1zKk4","Drake Equation","10","What is the Drake Equation used to estimate?","","","","","C","It estimates the number of civilizations in the galaxy that might communicate with us."
"xRTTwjPXwHPqpM7ctVcC","Drake Equation","10","What is the Drake Equation used to estimate?","","","","","C","It estimates the number of civilizations in the galaxy that might communicate with us."
"AZMVpT3HmRzDo4bOB2AL","Exoplanets","10","What is an exoplanet?","","","","","C","Exoplanets are planets that orbit stars beyond our Solar System."
"kmkQX57dmggZN5oKrFMj","Exoplanets","10","What is an exoplanet?","","","","","C","Exoplanets are planets that orbit stars beyond our Solar System."
"eJ09cPM7CU3EvOZTHcTR","Relativity","10","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"pZ5FUrs2gdrnypt520Ft","Relativity","10","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"53dxW6y6O6gb6BCUhdEL","Solar System","10","Which planet is known as the Red Planet?","","","","","B","Mars is called the Red Planet due to its reddish appearance caused by iron oxide."
"FmQhLLoOcml0WqJ0dsfY","Solar System","10","Which planet is known as the Red Planet?","","","","","B","Mars is called the Red Planet due to its reddish appearance caused by iron oxide."
"7BdIm8hpL6YPYFB3gBzR","Stars","10","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"l2zuiQ3yvQeNlWwlUvM5","Stars","10","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
