topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation
Exoplanets,6,What is a super-Earth?,A planet larger than Earth,A very habitable planet,A planet with superpowers,A planet orbiting a supergiant,A,A super-Earth is an exoplanet with a mass larger than Earth's but smaller than Neptune's.
Stars,7,What is a Thorne-Żytkow object?,A neutron star inside a red giant,A black hole-neutron star binary,A white dwarf-red giant system,A pulsar with a planetary system,A,A Thorne-Żytkow object is a theoretical hybrid star with a neutron star core surrounded by a red giant envelope.
Exoplanets,5,What is a tidally locked planet?,A planet with no moons,A planet that doesn't rotate,A planet with one side always facing its star,A planet with extreme seasons,C,A tidally locked planet has one side permanently facing its star like the Moon faces Earth.
Black Holes,7,What is a white hole in theoretical physics?,The opposite of a black hole,A very bright star,A type of neutron star,A theoretical time machine,A,A white hole is a theoretical object that is the time-reverse of a black hole expelling matter and energy.
Observatories,7,What is adaptive optics?,Adjusting telescope mirrors,Correcting atmospheric distortion,Changing telescope focus,Rotating telescope orientation,B,Adaptive optics systems correct for atmospheric distortion in real-time to improve image quality.
Black Holes,9,What is AdS/CFT correspondence?,Duality between gravity and field theory,Black hole classification system,Spacetime curvature formula,Quantum gravity theory,A,AdS/CFT correspondence is a theoretical duality between gravity in Anti-de Sitter space and conformal field theory.
Exoplanets,9,What is an exoplanet?,A moon outside the Solar System,A star in another galaxy,A planet outside the Solar System,A comet,C,Exoplanets are planets that orbit stars beyond our Solar System.
Galaxies,4,What is at the center of most galaxies?,A neutron star,A supermassive black hole,A white dwarf,A pulsar,B,"Most galaxies, including the Milky Way, have supermassive black holes at their centers."
Exoplanets,8,What is atmospheric characterization of exoplanets?,Studying planet surfaces,Studying planet atmospheres,Studying planet orbits,Studying planet formation,B,Atmospheric characterization involves studying the composition and properties of exoplanet atmospheres.
Exoplanets,6,What is atmospheric characterization?,Studying exoplanet atmosphere composition,Measuring planetary mass,Calculating orbital periods,Determining planetary radius,A,Atmospheric characterization involves studying the composition and properties of exoplanet atmospheres using spectroscopy.
Black Holes,8,What is black hole complementarity?,Information appears both destroyed and preserved,Black holes have complements,Information exists in multiple forms,Observers see different realities,A,Black hole complementarity suggests information appears destroyed to outside observers but preserved to infalling observers.
Stars,6,What is convective overshooting?,Mixing beyond convective boundaries,Surface convection patterns,Core convection instabilities,Stellar wind acceleration,A,Convective overshooting occurs when convective motions extend beyond the formal convective boundary mixing stellar material.
Astrophysics,7,What is dark matter believed to do?,Emit light,Slow down stars,Add mass to galaxies,Cause solar flares,C,Dark matter adds gravitational mass but does not emit light.
Galaxies,8,What is dark matter's role in galaxy formation?,It provides energy,It provides structure,It provides light,It provides heat,B,Dark matter provides the gravitational scaffolding that allows normal matter to form galaxies and larger structures.
Relativity,8,What is frame dragging?,Time dilation,Space rotation,Length contraction,Mass increase,B,Frame dragging is the effect where rotating massive objects drag spacetime around with them.
Black Holes,4,What is frame-dragging around a black hole?,Time dilation effects,Spacetime rotation effects,Gravitational lensing,Tidal forces,B,Frame-dragging is the effect where rotating massive objects drag spacetime around with them.
Galaxies,7,What is galactic cannibalism?,Galaxies eating stars,Larger galaxies absorbing smaller ones,Stars eating planets,Black holes eating galaxies,B,Galactic cannibalism occurs when larger galaxies gravitationally capture and absorb smaller galaxies.
Relativity,6,What is gravitational redshift?,Light becomes redder in gravity,Light becomes bluer in gravity,Light disappears in gravity,Light bends in gravity,A,Gravitational redshift occurs when light loses energy climbing out of a gravitational field appearing redder.
Relativity,6,What is gravitational time dilation?,Time moving faster in strong gravity,Time moving slower in strong gravity,Time stopping in gravity,Gravity affecting clock mechanisms,B,"Gravitational time dilation means time moves slower in stronger gravitational fields, as predicted by general relativity."
Black Holes,5,What is Hawking radiation temperature?,Inversely proportional to mass,Directly proportional to mass,Independent of mass,Proportional to mass squared,A,Hawking radiation temperature is inversely proportional to black hole mass: T = ℏc³/8πGMk.
Black Holes,7,What is Hawking radiation?,Radiation emitted by black holes,Radiation that creates black holes,Radiation that destroys black holes,Radiation from Stephen Hawking's experiments,A,Hawking radiation is theoretical radiation predicted to be emitted by black holes due to quantum effects near the event horizon.
Black Holes,9,What is Hawking-Unruh radiation?,Radiation from accelerating observers,Radiation from black holes only,Radiation from white holes,Radiation from wormholes,A,Hawking-Unruh radiation connects black hole radiation to radiation observed by accelerating observers.
Observatories,6,What is interferometry in astronomy?,Combining signals from multiple telescopes,Blocking unwanted signals,Amplifying weak signals,Filtering radio interference,A,Interferometry combines signals from multiple telescopes to achieve higher resolution than any single telescope.
Observatories,5,What is interferometry's main advantage?,Higher resolution than single telescopes,Cheaper construction costs,Simpler operation,Better weather resistance,A,Interferometry combines multiple telescopes to achieve higher resolution than any single telescope could provide.
Curiosities,6,What is Olbers' paradox?,Why is the night sky dark?,Why do stars shine?,Why is space cold?,Why does the universe expand?,A,Olbers' paradox asks why the night sky is dark if the universe is infinite and uniformly filled with stars.
Drake Equation,8,What is one of the most uncertain parameters in the Drake Equation?,Star formation rate,Fraction of stars with planets,Fraction of planets that develop intelligent life,Number of planets per star,C,The fraction of planets that develop intelligent life remains highly speculative and uncertain in the Drake Equation.
Stars,7,What is Population III stars?,The first generation of stars,Very metal-rich stars,Binary star systems,Planetary nebula central stars,A,Population III stars are the hypothetical first generation of stars formed from primordial hydrogen and helium.
Relativity,6,What is proper acceleration?,Acceleration measured by accelerometer,Coordinate acceleration,Gravitational acceleration,Centripetal acceleration,A,Proper acceleration is the acceleration measured by an accelerometer carried by the accelerating object.
Relativity,6,What is proper time?,Time measured by a moving observer,Time measured by a stationary observer,Time at the speed of light,Universal time,A,Proper time is the time measured by an observer in their own reference frame.
Astrophysics,9,What is quantum gravity?,A strong gravitational field,A field around protons,Theory uniting general relativity and quantum mechanics,Type of black hole radiation,C,Quantum gravity attempts to unify gravity with quantum physics at very small scales.
Astrophysics,4,What is redshift used to measure?,Stellar temperature,Age of planets,Expansion of the universe,Gravity,C,Redshift shows that galaxies are moving away due to universal expansion.
Stars,4,What is stellar aberration?,Apparent star position changes,Star brightness variations,Stellar spectrum shifts,Star formation rates,A,Stellar aberration is the apparent change in star positions due to Earth's orbital motion around the Sun.
Comets and Asteroids,3,What is sublimation in the context of comets?,Melting of ice,Direct transition from ice to gas,Freezing of gas,Condensation of vapor,B,Sublimation is the direct transition of ice to gas without melting which creates a comet's coma and tail.
Fermi Paradox,7,"What is the ""Great Filter"" theory in relation to the Fermi Paradox?",A space telescope filter,A barrier preventing civilizations from advancing,A method of detecting aliens,A type of cosmic radiation,B,The Great Filter theory suggests there's a nearly insurmountable barrier that prevents most civilizations from reaching advanced stages.
Fermi Paradox,4,"What is the ""Where is everybody?"" question attributed to?",Carl Sagan,Frank Drake,Enrico Fermi,Stephen Hawking,C,"Enrico Fermi famously asked ""Where is everybody?"" during a lunch conversation in 1950 leading to the Fermi Paradox."
Telescopes and Observatories,7,What is the advantage of space-based gravitational wave detectors?,No atmospheric interference,Longer baselines,Better isolation from vibrations,All of the above,D,Space-based detectors like LISA will have all these advantages over ground-based gravitational wave detectors.
Observatories,7,What is the advantage of space-based telescopes?,No atmospheric interference,Larger mirrors possible,Lower construction costs,Easier maintenance,A,Space-based telescopes avoid atmospheric interference allowing clearer observations across all wavelengths.
Fermi Paradox,8,What is the Aestivation Hypothesis?,Aliens hibernate,Aliens wait for better conditions,Aliens sleep through winter,Aliens are dormant,B,The Aestivation Hypothesis suggests advanced civilizations might be waiting for the universe to cool down for more efficient computation.
Relativity,8,What is the Alcubierre metric?,Spacetime geometry for faster-than-light travel,Black hole interior geometry,Wormhole geometry,Cosmological spacetime,A,The Alcubierre metric describes a spacetime geometry that could theoretically allow faster-than-light travel.
Curiosities,7,What is the anthropic principle?,Universe appears fine-tuned for life,Humans are central to universe,Life is inevitable everywhere,Intelligence always emerges,A,The anthropic principle suggests the universe's physical constants appear fine-tuned to allow the existence of life.
Space Missions,8,What is the Artemis program's ultimate goal?,Return to the Moon,Go to Mars,Build space stations,Mine asteroids,A,The Artemis program aims to return humans to the Moon and establish a sustainable lunar presence.
Comets and Asteroids,2,What is the asteroid belt?,A region between Earth and Mars,A region between Mars and Jupiter,A region beyond Neptune,A region around Saturn,B,The asteroid belt is located between Mars and Jupiter and contains most of the Solar System's asteroids.
Observatories,6,What is the Atacama Large Millimeter Array (ALMA)?,Radio telescope array,Optical telescope,X-ray observatory,Gamma-ray detector,A,ALMA is a radio telescope array observing millimeter and submillimeter wavelengths.
Fermi Paradox,7,What is the Berserker Hypothesis?,Self-replicating machines destroy life,Aliens are warriors,Space is dangerous,Civilizations become aggressive,A,The Berserker Hypothesis suggests that self-replicating machines systematically destroy biological life throughout the galaxy.
Exoplanets,9,What is the biosignature detection challenge?,Distinguishing biological from geological processes,Finding planets with atmospheres,Measuring atmospheric composition,Detecting water vapor,A,The main challenge is distinguishing biosignatures produced by life from those created by geological processes.
Black Holes,7,What is the black hole entropy formula?,S = A/4G,S = kA/4ℏc,S = A/4ℏG,S = kA/4G,C,Black hole entropy is S = A/4ℏG where A is the area of the event horizon in Planck units.
Relativity,10,What is the black hole information paradox related to?,Quantum mechanics and general relativity,Special and general relativity,Thermodynamics and gravity,Electromagnetism and gravity,A,The information paradox arises from conflicts between quantum mechanics and general relativity at black hole event horizons.
Black Holes,5,What is the boundary around a black hole called?,Photon ring,Event horizon,Accretion disk,Singularity,B,The event horizon is the point beyond which nothing can escape a black hole.
Relativity,9,What is the Brans-Dicke theory?,Alternative theory of gravity,Quantum gravity theory,Unified field theory,String theory extension,A,Brans-Dicke theory is an alternative to general relativity that includes a scalar field coupled to gravity.
Space Missions,7,What is the Breakthrough Starshot initiative?,Mars colonization,Interstellar probe mission,Asteroid mining,Solar power satellites,B,Breakthrough Starshot aims to send tiny probes to Proxima Centauri using light sails and powerful lasers.
Space Missions,7,What is the Breakthrough Starshot's target speed?,5% speed of light,10% speed of light,20% speed of light,50% speed of light,C,Breakthrough Starshot aims to accelerate tiny probes to 20% the speed of light using powerful lasers.
Galaxies,8,What is the Butcher-Oemler effect?,Evolution of galaxy clusters,Galaxy merger rates,Stellar population changes,Dark matter interactions,A,The Butcher-Oemler effect is the observation that distant galaxy clusters contain more blue star-forming galaxies.
Astrophysics,8,What is the Chandrasekhar limit?,Maximum size of a galaxy,Minimum temperature for fusion,Mass limit for white dwarfs,Limit for light speed,C,"White dwarfs cannot exceed ~1.4 solar masses—above this, they collapse into neutron stars or black holes."
Stars,10,What is the Chandrasekhar-Schönberg limit?,Maximum helium core mass in main sequence stars,Maximum white dwarf mass,Maximum neutron star mass,Maximum black hole spin,A,The Chandrasekhar-Schönberg limit is about 10% of the star's mass the maximum helium core mass before the star leaves main sequence.
Stars,4,What is the closest star to Earth after the Sun?,Sirius,Vega,Proxima Centauri,Betelgeuse,C,"Proxima Centauri, part of the Alpha Centauri system, is the closest star to Earth at about 4.24 light-years away."
Stars,3,What is the closest star to Earth?,Proxima Centauri,Sirius,Alpha Centauri A,The Sun,D,"The Sun is the closest star to Earth, about 150 million km away."
Curiosities,7,What is the coldest place in the Solar System?,Pluto's surface,Neptune's atmosphere,The Moon's poles,Triton's surface,D,Triton Neptune's largest moon has surface temperatures as low as -235°C making it the coldest place in the Solar System.
Telescopes and Observatories,8,What is the collecting area advantage?,More light gathering power,Better resolution,Faster observations,Cheaper operation,A,Larger collecting area provides more light gathering power enabling observation of fainter objects.
Comets and Asteroids,10,What is the collisional cascade?,Process of asteroid fragmentation,Comet formation mechanism,Planetary ring dynamics,Meteorite shower creation,A,The collisional cascade is the process where asteroid collisions create fragments that undergo further collisions.
Comets and Asteroids,5,What is the coma of a comet?,The nucleus,The tail,The atmosphere around the nucleus,The orbit,C,The coma is the atmosphere of gas and dust that forms around a comet's nucleus when it approaches the Sun.
Solar System,3,What is the composition of Titan's atmosphere?,Mostly oxygen,Mostly nitrogen,Mostly methane,Mostly carbon dioxide,B,Titan's atmosphere is about 95% nitrogen with small amounts of methane and other hydrocarbons.
Fermi Paradox,5,"What is the concept of a ""Great Filter""?",A cosmic event,A barrier to advanced civilization,A type of telescope,A method of communication,B,The Great Filter is a hypothetical barrier that prevents most life from evolving to become spacefaring civilizations.
Curiosities,3,What is the cosmic microwave background temperature?,2.7 Kelvin,0 Kelvin,273 Kelvin,3000 Kelvin,A,The cosmic microwave background has a nearly uniform temperature of about 2.7 Kelvin.
Galaxies,9,What is the cosmic web?,Galaxy distribution pattern,Star formation pattern,Planet formation pattern,Black hole distribution,A,The cosmic web is the largest-scale structure of the universe showing how galaxies are distributed.
Relativity,9,What is the cosmological constant?,Universal expansion rate,Dark energy density,Speed of light,Gravitational strength,B,The cosmological constant represents the energy density of empty space associated with dark energy.
Fermi Paradox,6,What is the Dark Forest Theory?,Space is dark,Aliens hide from each other,Forests block signals,Communication is impossible,B,The Dark Forest Theory suggests civilizations remain silent because revealing themselves invites destruction from others.
Solar System,4,What is the diameter of Enceladus approximately?,300 kilometers,500 kilometers,700 kilometers,900 kilometers,B,Enceladus is about 500 kilometers in diameter making it the sixth-largest moon of Saturn.
Comets and Asteroids,4,What is the difference between a meteoroid meteorite and meteor?,Size differences,Location differences,Composition differences,Age differences,B,A meteoroid is in space a meteor is in the atmosphere and a meteorite has landed on Earth.
Fermi Paradox,10,What is the Doomsday Argument related to the Fermi Paradox?,Civilizations destroy themselves,The universe will end,Earth will be destroyed,Stars will die out,A,The Doomsday Argument suggests that civilizations tend to destroy themselves before becoming spacefaring explaining the silence.
Fermi Paradox,9,What is the Doomsday Argument?,Civilizations destroy themselves before contact,The universe will end soon,Earth faces imminent destruction,Stars will die out quickly,A,The Doomsday Argument suggests civilizations tend to destroy themselves before becoming spacefaring.
Space Missions,6,What is the Double Asteroid Redirection Test (DART) mission?,Study asteroids,Deflect an asteroid,Mine asteroids,Map asteroids,B,DART successfully demonstrated asteroid deflection by impacting the asteroid Dimorphos in 2022.
Space Missions,10,What is the Dragonfly mission's destination?,Titan,Europa,Enceladus,Mars,A,Dragonfly is a rotorcraft mission that will explore Saturn's moon Titan searching for signs of life.
Drake Equation,2,What is the Drake Equation used to estimate?,Mass of black holes,Distance to stars,Number of communicative civilizations,Age of the Universe,C,It estimates the number of civilizations in the galaxy that might communicate with us.
Stars,8,What is the Eddington limit?,Maximum luminosity for hydrostatic equilibrium,Maximum mass for nuclear fusion,Maximum temperature in stellar cores,Maximum magnetic field strength,A,The Eddington limit is the maximum luminosity a star can have while maintaining hydrostatic equilibrium.
Relativity,7,What is the equivalence principle?,Gravity equals acceleration,Mass equals energy,Space equals time,Force equals motion,A,The equivalence principle states that gravitational acceleration is indistinguishable from other forms of acceleration.
Black Holes,3,What is the ergosphere of a rotating black hole?,The event horizon,The region where spacetime is dragged,The accretion disk,The photon sphere,B,The ergosphere is the region around a rotating black hole where spacetime itself is dragged around.
Space Missions,5,What is the Europa Clipper's main objective?,Study Europa's subsurface ocean,Land on Europa's surface,Study Jupiter's atmosphere,Map Europa's geology,A,Europa Clipper will study Europa's subsurface ocean and assess its potential for harboring life.
Black Holes,5,What is the event horizon of a black hole?,The point where light escapes,The boundary beyond which nothing can escape,The center of the black hole,The outer edge of the accretion disk,B,"The event horizon is the boundary around a black hole beyond which nothing, not even light, can escape."
Observatories,8,What is the Event Horizon Telescope?,A single large telescope,A network of radio telescopes,A space-based telescope,A theoretical telescope,B,The Event Horizon Telescope is a global network of radio telescopes that work together to image black holes.
Observatories,7,What is the Event Horizon Telescope's achievement?,First image of a black hole,Discovery of gravitational waves,Detection of exoplanets,Measurement of dark energy,A,The Event Horizon Telescope achieved the first direct image of a black hole's event horizon.
