baseId,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
q1020,Moon,"What causes ocean tides on Earth?",2,Wind,Moon's gravity,Earth's rotation,Earthquakes,B,"Tides are mainly caused by the Moon's gravitational pull on Earth's oceans, creating two bulges of water."
q1021,Stars,"What color is a hotter star?",2,Red,Yellow,White,Blue,D,"Blue stars are the hottest (above 30,000K), while red stars are the coolest (about 3,000K). The yellow Sun has an intermediate temperature."
q1022,Solar System,"Which planet has the most known moons?",2,Earth,Mars,Jupiter,Saturn,D,"Saturn has the most confirmed moons, with over 140 known natural satellites, surpassing Jupiter."
q1023,Astronomy,"What is a comet?",1,Shooting star,Ball of ice and rock,Small planet,Giant moon,B,"A comet is a celestial body composed of ice, rocks, and dust that develops a bright tail when approaching the Sun."
q1024,Milky Way,"In which galaxy is the Solar System located?",1,Andromeda,Milky Way,Triangulum,Sombrero,B,"The Solar System is located in the Milky Way galaxy, specifically in the Orion Arm, about 26,000 light-years from the galactic center."
q1025,Solar System,"Which planet has the longest day?",2,Mercury,Venus,Earth,Jupiter,B,"Venus has the longest day of all planets, taking 243 Earth days to complete one rotation, longer than its 225-day orbit."
q1026,Moon,"How many main phases does the Moon have?",1,2,4,6,8,B,"The Moon has 4 main phases: New, Waxing, Full, and Waning, completing a cycle in approximately 29.5 days."
q1027,Earth,"What is the name of Earth's movement around the Sun?",1,Rotation,Revolution,Precession,Nutation,B,"Revolution is Earth's movement around the Sun, which takes 365.25 days to complete and causes the seasons."
q1028,Solar System,"What is the largest moon in the Solar System?",2,Our Moon,Europa,Titan,Ganymede,D,"Ganymede, Jupiter's moon, is the largest moon in the Solar System at 5,268 km in diameter, even larger than planet Mercury."
q1029,Astronomy,"What is a shooting star?",1,Falling star,Meteor entering atmosphere,Passing comet,Artificial satellite,B,"A shooting star is actually a meteor, a small fragment of rock or metal that burns up entering Earth's atmosphere at high speed."
q1030,Solar System,"Which planet is known for its rings?",1,Mars,Jupiter,Saturn,Venus,C,"Saturn is famous for its magnificent ring system, visible even with small telescopes from Earth."
q1031,Sun,"What is the Sun mainly made of?",1,Rocks,Water,Hydrogen and Helium,Oxygen,C,"The Sun is composed mainly of hydrogen (about 73%) and helium (about 25%), with traces of heavier elements."
q1032,Solar System,"Which planet has the Great Dark Storm?",2,Jupiter,Saturn,Uranus,Neptune,D,"Neptune periodically displays large dark storms in its atmosphere, similar to Jupiter's Great Red Spot but temporary."
q1033,Earth,"What is Earth's rotation speed?",2,About 100 km/h,About 500 km/h,About 1600 km/h,About 5000 km/h,C,"At the equator, Earth rotates at approximately 1,670 km/h, a speed that decreases as we approach the poles."
q1034,Moon,"What happens during a solar eclipse?",2,Earth between Sun and Moon,Moon between Sun and Earth,Sun between Earth and Moon,Mars passes in front,B,"A solar eclipse occurs when the Moon passes between Earth and the Sun, totally or partially blocking sunlight."
q1035,Solar System,"Which planet has the largest volcano in the Solar System?",2,Earth,Mars,Jupiter,Venus,B,"Mars has Mount Olympus, the largest volcano in the Solar System at 22 km high, almost 3 times Mount Everest."
q1036,Stars,"Which constellation contains the Three Kings?",1,Southern Cross,Orion,Scorpio,Ursa Major,B,"The Three Kings (Orion's Belt) are part of the Orion constellation, representing the mythological hunter's belt."
q1037,Solar System,"Which planet could float on water?",2,Earth,Saturn,Mars,Mercury,B,"Saturn has an average density lower than water (about 0.687 g/cm³), so it would theoretically float if there were an ocean large enough."
q1038,Astronomy,"What is a light-year?",2,Travel time,Distance light travels in 1 year,Age of a star,Speed of light,B,"A light-year is the distance light travels in a vacuum during one year, equivalent to about 9.5 trillion kilometers."
q1039,Solar System,"Which planet has the most eccentric orbit?",2,Earth,Mars,Mercury,Venus,C,"Mercury has the most eccentric (elongated) orbit among planets, with its distance from the Sun varying significantly."
q1040,Moon,"Why doesn't the Moon have an atmosphere?",2,Too cold,Weak gravity,Too close to Sun,Made of rock,B,"The Moon has gravity too weak (1/6 of Earth's) to retain an atmosphere, causing gases to escape into space."
q1041,Solar System,"What is the farthest planet from the Sun?",1,Saturn,Uranus,Neptune,Pluto,C,"Neptune is the farthest planet from the Sun, orbiting at about 4.5 billion kilometers distance."
q1042,Earth,"What is the name of the atmospheric layer where we live?",1,Stratosphere,Troposphere,Mesosphere,Thermosphere,B,"The troposphere is the lowest layer of Earth's atmosphere, where weather occurs and where we live, extending to about 12 km altitude."
q1043,Stars,"What will happen to the Sun in the distant future?",2,Explode as supernova,Become red giant,Become black hole,Disappear,B,"In about 5 billion years, the Sun will expand into a red giant, possibly swallowing the inner planets before becoming a white dwarf."
q1044,Solar System,"Which planet has the strongest winds?",2,Earth,Mars,Neptune,Venus,C,"Neptune has the strongest winds in the Solar System, reaching speeds up to 2,100 km/h, more than 5 times a terrestrial hurricane's speed."
q1045,Astronomy,"How many official constellations exist?",2,12,48,88,100,C,"The International Astronomical Union officially recognizes 88 constellations, dividing the entire celestial sphere."
q1046,Solar System,"What is the approximate temperature on the Sun's surface?",2,6000°C,15000°C,1000000°C,100000°C,A,"The Sun's surface (photosphere) has a temperature of approximately 5,500-6,000°C, while the core reaches 15 million degrees."
q1047,Earth,"What causes day and night?",1,Earth's revolution,Earth's rotation,Moon blocking Sun,Clouds,B,"Day and night are caused by Earth's rotation on its own axis, which takes 24 hours to complete."
q1048,Solar System,"Which planet has more than 80 known moons?",2,Earth,Mars,Jupiter,Venus,C,"Jupiter has over 90 known moons, with the 4 largest (Io, Europa, Ganymede, and Callisto) called Galilean moons."
q1049,Astronomy,"What is the Milky Way?",1,A star,Our galaxy,A planet,A nebula,B,"The Milky Way is the spiral galaxy where the Solar System is located, containing between 200-400 billion stars."
q1050,Solar System,"In what position is Earth in the Solar System?",1,1st planet,2nd planet,3rd planet,4th planet,C,"Earth is the third planet from the Sun, located between Venus and Mars in the Solar System's habitable zone."
q1051,Moon,"What causes the Moon's phases?",2,Earth's shadow,Relative position Sun-Earth-Moon,Moon's rotation,Clouds,B,"The Moon's phases are caused by the changing relative position between Sun, Earth, and Moon, altering the illuminated portion visible from Earth."
q1052,Solar System,"Which planet is known as the Morning Star?",1,Mars,Jupiter,Venus,Mercury,C,"Venus is called the Morning Star or Evening Star for being the brightest object in the sky after the Sun and Moon."
q1053,Stars,"What color is the Sun when viewed from space?",2,Yellow,Orange,White,Blue,C,"From space, the Sun appears white because it emits all colors of the visible spectrum. We see yellow on Earth due to atmospheric scattering."
q1055,Earth,"How long does Earth take to complete one rotation on itself?",1,12 hours,24 hours,48 hours,365 days,B,"Earth completes one rotation in approximately 24 hours (more precisely 23h 56min), defining the duration of a day."
q1056,Solar System,"Which planet has no moon?",1,Mars,Venus,Jupiter,Neptune,B,"Venus and Mercury are the only planets without moons in the Solar System. Venus possibly lost its moons due to solar gravity."
q1057,Astronomy,"What are the aurora borealis?",2,Ice reflection,Solar particles in atmosphere,Bright clouds,Shooting stars,B,"Aurora borealis are caused by charged particles from solar wind interacting with Earth's magnetic field and atmospheric gases."
q1058,Solar System,"What is the most massive object in the Solar System?",1,Jupiter,Earth,The Sun,Saturn,C,"The Sun contains 99.86% of all mass in the Solar System, being 333,000 times more massive than Earth."
q1059,Moon,"Is the Moon moving away from or closer to Earth?",2,Moving closer,Moving away,Constant distance,Depends on season,B,"The Moon is moving away from Earth about 3.8 cm per year due to angular momentum transfer through tides."
q1060,Solar System,"Which planet has the shortest day?",2,Earth,Mars,Jupiter,Saturn,C,"Jupiter has the shortest day in the Solar System, completing one rotation in just 9 hours and 55 minutes."
q1061,Stars,"How many stars can we see with the naked eye on a dark night?",2,Hundreds,A few thousand,Millions,Billions,B,"Under ideal conditions, away from light pollution, we can see about 2,000 to 3,000 stars with the naked eye."
q1062,Solar System,"What is Pluto currently classified as?",1,Planet,Dwarf planet,Asteroid,Comet,B,"Pluto was reclassified as a dwarf planet in 2006 by the International Astronomical Union for not having 'cleared' its orbit of other objects."
q1063,Earth,"What is Earth's approximate age?",2,"4.5 thousand years","4.5 million years","4.5 billion years","14 billion years",C,"Earth is approximately 4.5 billion years old, formed from the solar nebula that also gave origin to the Sun and other planets."
q1064,Solar System,"Which planet has the densest atmosphere?",2,Earth,Mars,Venus,Mercury,C,"Venus has the densest atmosphere among rocky planets, with surface pressure 92 times greater than Earth's."
q1065,Astronomy,"What is a nebula?",2,Distant galaxy,Cloud of gas and space dust,Forming planet,Dead star,B,"A nebula is a giant cloud of gas (mainly hydrogen) and dust in space, where new stars can be born."
q1066,Solar System,"How many rocky planets exist in the Solar System?",1,2,3,4,5,C,"There are 4 rocky (terrestrial) planets: Mercury, Venus, Earth, and Mars, located in the inner part of the Solar System."
q1067,Sun,"What is the Sun's approximate diameter?",2,"100,000 km","700,000 km","1.4 million km","10 million km",C,"The Sun has a diameter of approximately 1.4 million kilometers, about 109 times Earth's diameter."
q1068,Solar System,"Which planet has the most extreme seasons?",2,Earth,Mars,Uranus,Venus,C,"Uranus has the most extreme seasons due to its 98° tilt, with each pole spending 42 years in light and 42 years in darkness."
q1069,Moon,"What is the phenomenon when the Moon appears larger on the horizon?",2,Supermoon,Blue moon,Moon illusion,Lunar perihelion,C,"The Moon illusion is an optical effect that makes the Moon appear larger when on the horizon, although its angular size is the same."
q1070,Solar System,"What is the coldest planet in the Solar System?",2,Neptune,Uranus,Pluto,Saturn,B,"Uranus is the coldest planet, with minimum temperature of -224°C, even though it's not the farthest from the Sun."
q1071,Earth,"In which layer of Earth do we live?",1,Core,Mantle,Crust,Atmosphere,C,"We live on Earth's crust, the outermost and thinnest layer of Earth, with thickness of 5-70 km."
q1072,Astronomy,"What is the Kuiper Belt?",2,Inner Solar System region,Region beyond Neptune,Jupiter's atmosphere,Milky Way center,B,"The Kuiper Belt is a region beyond Neptune's orbit containing thousands of icy objects, including Pluto."
q1073,Solar System,"How many gas planets exist in the Solar System?",1,2,3,4,5,C,"There are 4 gas (Jovian) planets: Jupiter, Saturn, Uranus, and Neptune, located in the outer part of the Solar System."
q1074,Stars,"What is a red supergiant?",2,Red planet,Very large and cold star,Type of galaxy,Red nebula,B,"A red supergiant is a massive star in the final phase of its life, expanded and with relatively low surface temperature."
q1075,Solar System,"What is Mercury's main characteristic?",2,Bright rings,Craters and extreme temperature variation,Great spot,Frozen oceans,B,"Mercury has a surface full of craters and the greatest temperature variation in the Solar System: from -180°C at night to 430°C during the day."
q1076,Moon,"Does the Moon have water?",2,No water,Has ice in polar craters,Has oceans,Has rivers,B,"Evidence indicates water ice in permanently shadowed craters at the lunar poles, discovered by recent missions."
q1077,Solar System,"What are the inner planets?",1,Close to Sun,Far from Sun,With rings,Without atmosphere,A,"Inner planets are the four rocky planets closest to the Sun: Mercury, Venus, Earth, and Mars."
q1078,Earth,"What is the shape of Earth's orbit?",2,Perfect circle,Ellipse,Square,Spiral,B,"Earth's orbit is elliptical (oval), with the Sun at one focus, varying from 147 to 152 million km from the Sun."
q1079,Astronomy,"What is stellar magnitude?",2,Star size,Star's apparent brightness,Star temperature,Star age,B,"Stellar magnitude is a measure of the apparent brightness of a celestial object seen from Earth, where lower numbers indicate greater brightness."
q1080,Solar System,"Which planet rotates in the opposite direction to others?",2,Mars,Venus,Uranus,Neptune,B,"Venus has retrograde rotation, spinning in the opposite direction to most planets, possibly due to a giant impact in the past."
q1081,Sun,"How old is the Sun?",2,"4.6 million years","4.6 billion years","10 billion years","14 billion years",B,"The Sun is approximately 4.6 billion years old, formed from the collapse of part of a giant molecular cloud."
q1083,Moon,"What was the first living being to orbit the Moon?",2,Humans,Laika the dog,Flies,Chimpanzee,C,"In 1968, fruit flies aboard the Soviet Zond 5 probe were the first living beings to orbit the Moon and return alive to Earth."
q1084,Solar System,"Which planet has the strongest magnetic field?",2,Earth,Mars,Jupiter,Venus,C,"Jupiter has the strongest magnetic field in the Solar System, about 20,000 times more intense than Earth's."
q1085,Astronomy,"What is an astronomical unit (AU)?",2,1 light-year,Earth-Sun distance,Sun's size,Speed of light,B,"An Astronomical Unit (AU) is the average distance between Earth and the Sun, approximately 150 million kilometers."
q1086,Earth,"How many times does Earth fit inside the Sun?",2,About 100,About 1000,About 1 million,About 1 billion,C,"Approximately 1.3 million Earths would fit inside the Sun's volume."
q1087,Solar System,"Which planet was discovered last?",1,Uranus,Neptune,Pluto,Mars,B,"Neptune was the last planet to be discovered (1846), although Pluto was discovered later (1930) but is no longer classified as a planet."
q1088,Stars,"What keeps stars shining?",2,Fuel burning,Nuclear fusion,Sun's reflection,Electricity,B,"Stars shine due to nuclear fusion in their cores, where hydrogen atoms fuse into helium releasing energy."
q1089,Solar System,"What color is Neptune?",1,Red,Green,Blue,Yellow,C,"Neptune appears blue due to methane in its atmosphere, which absorbs red light and reflects blue light."
q1090,Earth,"What is Earth's orbital speed around the Sun?",2,"30 km/h","300 km/h","3,000 km/h","30,000 km/h",D,"Earth orbits the Sun at approximately 107,000 km/h or 29.8 km/s, completing one orbit in 365.25 days."
q1091,Moon,"When did the first manned Moon landing happen?",1,1959,1969,1979,1989,B,"The first manned Moon landing was on July 20, 1969, with the Apollo 11 mission and astronauts Neil Armstrong and Buzz Aldrin."
q1092,Solar System,"Which planet has the largest volcanic mountain?",2,Earth,Venus,Mars,Jupiter,C,"Mount Olympus on Mars is the largest volcanic mountain in the Solar System, at 21.9 km high."
q1093,Astronomy,"What are meteors?",1,Shooting stars,Comets,Small planets,Galaxies,A,"Meteors are fragments of rock or metal that burn up entering Earth's atmosphere, creating the visual phenomenon of 'shooting stars'."
q1094,Solar System,"Which planet has storms with blue-colored lightning?",2,Earth,Jupiter,Saturn,Neptune,C,"Saturn has electrical storms with lightning that emits blue light, much more powerful than terrestrial lightning."
q1095,Sun,"What is the visible layer of the Sun that we see?",2,Core,Photosphere,Chromosphere,Corona,B,"The photosphere is the visible layer of the Sun, where temperature is about 5,500°C and where most sunlight comes from."
q1096,Earth,"How many continents are there on Earth?",1,5,6,7,8,C,"Earth has 7 continents: Africa, North America, South America, Antarctica, Asia, Europe, and Oceania."
q1097,Solar System,"Which planet has the largest ring system?",2,Jupiter,Saturn,Uranus,Neptune,B,"Saturn has the largest and most spectacular ring system, extending for hundreds of thousands of kilometers."
q1098,Astronomy,"What is a natural satellite?",1,Spacecraft,Object orbiting a planet,Star,Asteroid,B,"A natural satellite is a celestial body that orbits a planet or other larger body. The Moon is Earth's natural satellite."
q1099,Solar System,"Which planet has the most extreme axial tilt?",2,Earth,Mars,Uranus,Venus,C,"Uranus has an axial tilt of 97.77 degrees, making its rotation axis almost in the plane of its orbit."
q1100,Stars,"What is the second closest star to Earth?",2,Sirius,Alpha Centauri,Proxima Centauri,Betelgeuse,C,"Proxima Centauri, part of the Alpha Centauri system, is the closest star to Earth after the Sun, at 4.24 light-years away."
