baseId,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
q1028,Système Solaire,"Quelle est la plus grande lune du Système Solaire?",2,Notre Lune,Europe,Titan,Ganymède,D,"Ganymède, lune de Jupiter, est la plus grande lune du Système Solaire avec 5 268 km de diamètre, plus grande même que la planète Mercure."
q1029,Astronomie,"Qu'est-ce qu'une étoile filante?",1,Étoile tombante,Météore entrant dans l'atmosphère,Comète passante,Satellite artificiel,B,"Une étoile filante est en réalité un météore, petit fragment de roche ou de métal qui brûle en entrant à haute vitesse dans l'atmosphère terrestre."
q1030,Système Solaire,"Quelle planète est connue pour ses anneaux?",1,Mars,Jupiter,Saturne,Vénus,C,"Saturne est célèbre pour son magnifique système d'anneaux, visible même avec de petits télescopes depuis la Terre."
q1031,Soleil,"De quoi le Soleil est-il principalement composé?",1,Roches,Eau,Hydrogène et Hélium,Oxygène,C,"Le Soleil est composé principalement d'hydrogène (environ 73%) et d'hélium (environ 25%), avec des traces d'éléments plus lourds."
q1032,Système Solaire,"Quelle planète a la Grande Tempête Sombre?",2,Jupiter,Saturne,Uranus,Neptune,D,"Neptune présente périodiquement de grandes tempêtes sombres dans son atmosphère, similaires à la Grande Tache Rouge de Jupiter mais temporaires."
q1033,Terre,"Quelle est la vitesse de rotation de la Terre?",2,Environ 100 km/h,Environ 500 km/h,Environ 1 600 km/h,Environ 5 000 km/h,C,"À l'équateur, la Terre tourne à environ 1 670 km/h, vitesse qui diminue à mesure qu'on s'approche des pôles."
q1034,Lune,"Que se passe-t-il lors d'une éclipse solaire?",2,Terre entre Soleil et Lune,Lune entre Soleil et Terre,Soleil entre Terre et Lune,Mars passe devant,B,"Une éclipse solaire se produit lorsque la Lune passe entre la Terre et le Soleil, bloquant totalement ou partiellement la lumière solaire."
q1035,Système Solaire,"Quelle planète a le plus grand volcan du Système Solaire?",2,Terre,Mars,Jupiter,Vénus,B,"Mars possède le Mont Olympe, le plus grand volcan du Système Solaire avec 22 km de hauteur, presque 3 fois le Mont Everest."
q1036,Étoiles,"Quelle est la constellation qui contient les Trois Rois?",1,Croix du Sud,Orion,Scorpion,Grande Ourse,B,"Les Trois Rois (Ceinture d'Orion) font partie de la constellation d'Orion, représentant la ceinture du chasseur mythologique."
q1037,Système Solaire,"Quelle planète pourrait flotter sur l'eau?",2,Terre,Saturne,Mars,Mercure,B,"Saturne a une densité moyenne inférieure à celle de l'eau (environ 0,687 g/cm³), donc elle flotterait théoriquement s'il y avait un océan assez grand."
q1038,Astronomie,"Qu'est-ce qu'une année-lumière?",2,Temps de voyage,Distance parcourue par la lumière en 1 an,Âge d'une étoile,Vitesse de la lumière,B,"Une année-lumière est la distance que la lumière parcourt dans le vide pendant une année, équivalant à environ 9,5 billions de kilomètres."
q1039,Système Solaire,"Quelle planète a l'orbite la plus excentrique?",2,Terre,Mars,Mercure,Vénus,C,"Mercure a l'orbite la plus excentrique (allongée) parmi les planètes, sa distance au Soleil variant considérablement."
q1040,Lune,"Pourquoi la Lune n'a-t-elle pas d'atmosphère?",2,Trop froide,Gravité faible,Trop proche du Soleil,Faite de roche,B,"La Lune a une gravité trop faible (1/6 de celle de la Terre) pour retenir une atmosphère, faisant que les gaz s'échappent dans l'espace."
q1041,Système Solaire,"Quelle est la planète la plus éloignée du Soleil?",1,Saturne,Uranus,Neptune,Pluton,C,"Neptune est la planète la plus éloignée du Soleil, orbitant à environ 4,5 milliards de kilomètres de distance."
q1042,Terre,"Quel est le nom de la couche de l'atmosphère où nous vivons?",1,Stratosphère,Troposphère,Mésosphère,Thermosphère,B,"La troposphère est la couche la plus basse de l'atmosphère terrestre, où se produit la météo et où nous vivons, s'étendant jusqu'à environ 12 km d'altitude."
q1043,Étoiles,"Qu'arrivera-t-il au Soleil dans un avenir lointain?",2,Exploser en supernova,Devenir une géante rouge,Devenir un trou noir,Disparaître,B,"Dans environ 5 milliards d'années, le Soleil s'étendra en géante rouge, engloutissant possiblement les planètes internes avant de devenir une naine blanche."
q1044,Système Solaire,"Quelle planète a les vents les plus forts?",2,Terre,Mars,Neptune,Vénus,C,"Neptune a les vents les plus forts du Système Solaire, atteignant des vitesses jusqu'à 2 100 km/h, plus de 5 fois la vitesse d'un ouragan terrestre."
q1045,Astronomie,"Combien de constellations officielles existent-elles?",2,12,48,88,100,C,"L'Union Astronomique Internationale reconnaît officiellement 88 constellations, divisant toute la sphère céleste."
q1046,Système Solaire,"Quelle est la température approximative à la surface du Soleil?",2,6 000°C,15 000°C,1 000 000°C,100 000°C,A,"La surface du Soleil (photosphère) a une température d'environ 5 500-6 000°C, tandis que le noyau atteint 15 millions de degrés."
q1047,Terre,"Qu'est-ce qui cause le jour et la nuit?",1,Révolution de la Terre,Rotation de la Terre,Lune bloquant le Soleil,Nuages,B,"Le jour et la nuit sont causés par la rotation de la Terre sur son propre axe, qui prend 24 heures pour se compléter."
q1048,Système Solaire,"Quelle planète a plus de 80 lunes connues?",2,Terre,Mars,Jupiter,Vénus,C,"Jupiter possède plus de 90 lunes connues, les 4 plus grandes (Io, Europe, Ganymède et Callisto) étant appelées lunes galiléennes."
q1049,Astronomie,"Qu'est-ce que la Voie Lactée?",1,Une étoile,Notre galaxie,Une planète,Une nébuleuse,B,"La Voie Lactée est la galaxie spirale où se trouve le Système Solaire, contenant entre 200 et 400 milliards d'étoiles."
q1050,Système Solaire,"En quelle position se trouve la Terre dans le Système Solaire?",1,1ère planète,2ème planète,3ème planète,4ème planète,C,"La Terre est la troisième planète à partir du Soleil, située entre Vénus et Mars dans la zone habitable du Système Solaire."
q1051,Lune,"Qu'est-ce qui cause les phases de la Lune?",2,Ombre de la Terre,Position relative Soleil-Terre-Lune,Rotation de la Lune,Nuages,B,"Les phases de la Lune sont causées par le changement de position relative entre Soleil, Terre et Lune, modifiant la portion illuminée visible depuis la Terre."
q1052,Système Solaire,"Quelle planète est connue comme l'Étoile du Berger?",1,Mars,Jupiter,Vénus,Mercure,C,"Vénus est appelée l'Étoile du Berger ou Étoile du Soir pour être l'objet le plus brillant dans le ciel après le Soleil et la Lune."
q1053,Étoiles,"Quelle est la couleur du Soleil vu depuis l'espace?",2,Jaune,Orange,Blanc,Bleu,C,"Depuis l'espace, le Soleil apparaît blanc car il émet toutes les couleurs du spectre visible. Nous le voyons jaune sur Terre en raison de la diffusion atmosphérique."
q1055,Terre,"Combien de temps la Terre met-elle pour faire un tour complet sur elle-même?",1,12 heures,24 heures,48 heures,365 jours,B,"La Terre complète une rotation en environ 24 heures (plus précisément 23h 56min), définissant la durée d'un jour."
q1056,Système Solaire,"Quelle planète n'a pas de lune?",1,Mars,Vénus,Jupiter,Neptune,B,"Vénus et Mercure sont les seules planètes sans lunes dans le Système Solaire. Vénus a possiblement perdu ses lunes en raison de la gravité solaire."
q1057,Astronomie,"Qu'est-ce que les aurores boréales?",2,Reflet de la glace,Particules solaires dans l'atmosphère,Nuages brillants,Étoiles filantes,B,"Les aurores boréales sont causées par des particules chargées du vent solaire interagissant avec le champ magnétique terrestre et les gaz atmosphériques."
q1058,Système Solaire,"Quel est l'objet le plus massif du Système Solaire?",1,Jupiter,La Terre,Le Soleil,Saturne,C,"Le Soleil contient 99,86% de toute la masse du Système Solaire, étant 333 000 fois plus massif que la Terre."
q1059,Lune,"La Lune s'éloigne-t-elle ou se rapproche-t-elle de la Terre?",2,Se rapproche,S'éloigne,Distance constante,Dépend de la saison,B,"La Lune s'éloigne de la Terre d'environ 3,8 cm par an en raison du transfert de moment angulaire par les marées."
q1060,Système Solaire,"Quelle planète a le jour le plus court?",2,Terre,Mars,Jupiter,Saturne,C,"Jupiter a le jour le plus court du Système Solaire, complétant une rotation en seulement 9 heures et 55 minutes."
q1061,Étoiles,"Combien d'étoiles peut-on voir à l'œil nu par une nuit sombre?",2,Centaines,Quelques milliers,Millions,Milliards,B,"Dans des conditions idéales, loin de la pollution lumineuse, nous pouvons voir environ 2 000 à 3 000 étoiles à l'œil nu."
q1062,Système Solaire,"Comment Pluton est-elle actuellement classée?",1,Planète,Planète naine,Astéroïde,Comète,B,"Pluton a été reclassée comme planète naine en 2006 par l'Union Astronomique Internationale pour ne pas avoir 'nettoyé' son orbite d'autres objets."
q1063,Terre,"Quel est l'âge approximatif de la Terre?",2,"4,5 mille ans","4,5 millions d'années","4,5 milliards d'années","14 milliards d'années",C,"La Terre a environ 4,5 milliards d'années, formée à partir de la nébuleuse solaire qui a également donné naissance au Soleil et aux autres planètes."
q1064,Système Solaire,"Quelle planète a l'atmosphère la plus dense?",2,Terre,Mars,Vénus,Mercure,C,"Vénus a l'atmosphère la plus dense parmi les planètes rocheuses, avec une pression de surface 92 fois plus grande que celle de la Terre."
q1065,Astronomie,"Qu'est-ce qu'une nébuleuse?",2,Galaxie lointaine,Nuage de gaz et de poussière spatiale,Planète en formation,Étoile morte,B,"Une nébuleuse est un nuage géant de gaz (principalement de l'hydrogène) et de poussière dans l'espace, où de nouvelles étoiles peuvent naître."
q1066,Système Solaire,"Combien de planètes rocheuses existent dans le Système Solaire?",1,2,3,4,5,C,"Il y a 4 planètes rocheuses (telluriques) : Mercure, Vénus, Terre et Mars, situées dans la partie interne du Système Solaire."
q1067,Soleil,"Quel est le diamètre approximatif du Soleil?",2,"100 000 km","700 000 km","1,4 million de km","10 millions de km",C,"Le Soleil a un diamètre d'environ 1,4 million de kilomètres, environ 109 fois le diamètre de la Terre."
q1068,Système Solaire,"Quelle planète a les saisons les plus extrêmes?",2,Terre,Mars,Uranus,Vénus,C,"Uranus a les saisons les plus extrêmes en raison de son inclinaison de 98°, chaque pôle passant 42 ans dans la lumière et 42 ans dans l'obscurité."
q1069,Lune,"Quel est le phénomène lorsque la Lune semble plus grande à l'horizon?",2,Superlune,Lune bleue,Illusion lunaire,Périhélie lunaire,C,"L'illusion lunaire est un effet optique qui fait paraître la Lune plus grande lorsqu'elle est à l'horizon, bien que sa taille angulaire soit la même."
q1070,Système Solaire,"Quelle est la planète la plus froide du Système Solaire?",2,Neptune,Uranus,Pluton,Saturne,B,"Uranus est la planète la plus froide, avec une température minimale de -224°C, même si elle n'est pas la plus éloignée du Soleil."
q1071,Terre,"Dans quelle couche de la Terre vivons-nous?",1,Noyau,Manteau,Croûte,Atmosphère,C,"Nous vivons sur la croûte terrestre, la couche la plus externe et la plus mince de la Terre, avec une épaisseur de 5-70 km."
q1072,Astronomie,"Qu'est-ce que la Ceinture de Kuiper?",2,Région interne du Système Solaire,Région au-delà de Neptune,Atmosphère de Jupiter,Centre de la Voie Lactée,B,"La Ceinture de Kuiper est une région au-delà de l'orbite de Neptune contenant des milliers d'objets glacés, y compris Pluton."
q1073,Système Solaire,"Combien de planètes gazeuses existent dans le Système Solaire?",1,2,3,4,5,C,"Il y a 4 planètes gazeuses (joviennes) : Jupiter, Saturne, Uranus et Neptune, situées dans la partie externe du Système Solaire."
q1074,Étoiles,"Qu'est-ce qu'une supergéante rouge?",2,Planète rouge,Étoile très grande et froide,Type de galaxie,Nébuleuse rouge,B,"Une supergéante rouge est une étoile massive dans la phase finale de sa vie, étendue et avec une température de surface relativement basse."
q1075,Système Solaire,"Quelle est la caractéristique principale de Mercure?",2,Anneaux brillants,Cratères et variation extrême de température,Grande tache,Océans gelés,B,"Mercure a une surface couverte de cratères et la plus grande variation de température du Système Solaire : de -180°C la nuit à 430°C pendant le jour."
q1076,Lune,"La Lune a-t-elle de l'eau?",2,Pas d'eau,A de la glace dans les cratères polaires,A des océans,A des rivières,B,"Les preuves indiquent de la glace d'eau dans les cratères en permanence ombragés aux pôles lunaires, découverte par des missions récentes."
q1077,Système Solaire,"Que sont les planètes internes?",1,Proches du Soleil,Éloignées du Soleil,Avec anneaux,Sans atmosphère,A,"Les planètes internes sont les quatre planètes rocheuses les plus proches du Soleil : Mercure, Vénus, Terre et Mars."
q1078,Terre,"Quelle est la forme de l'orbite de la Terre?",2,Cercle parfait,Ellipse,Carré,Spirale,B,"L'orbite de la Terre est elliptique (ovale), avec le Soleil à l'un des foyers, variant de 147 à 152 millions de km du Soleil."
q1079,Astronomie,"Qu'est-ce que la magnitude stellaire?",2,Taille de l'étoile,Luminosité apparente de l'étoile,Température de l'étoile,Âge de l'étoile,B,"La magnitude stellaire est une mesure de la luminosité apparente d'un objet céleste vu depuis la Terre, où des nombres plus petits indiquent une plus grande luminosité."
q1080,Système Solaire,"Quelle planète tourne dans le sens contraire des autres?",2,Mars,Vénus,Uranus,Neptune,B,"Vénus a une rotation rétrograde, tournant dans le sens contraire à la plupart des planètes, possiblement en raison d'un impact géant dans le passé."
q1081,Soleil,"Quel âge a le Soleil?",2,"4,6 millions d'années","4,6 milliards d'années","10 milliards d'années","14 milliards d'années",B,"Le Soleil a environ 4,6 milliards d'années, formé à partir de l'effondrement d'une partie d'un nuage moléculaire géant."
q1083,Lune,"Quel a été le premier être vivant à orbiter la Lune?",2,Humains,Chienne Laïka,Mouches,Chimpanzé,C,"En 1968, des mouches des fruits à bord de la sonde soviétique Zond 5 ont été les premiers êtres vivants à orbiter la Lune et à revenir vivants sur Terre."
q1084,Système Solaire,"Quelle planète a le champ magnétique le plus fort?",2,Terre,Mars,Jupiter,Vénus,C,"Jupiter a le champ magnétique le plus fort du Système Solaire, environ 20 000 fois plus intense que celui de la Terre."
q1085,Astronomie,"Qu'est-ce qu'une unité astronomique (UA)?",2,1 année-lumière,Distance Terre-Soleil,Taille du Soleil,Vitesse de la lumière,B,"Une Unité Astronomique (UA) est la distance moyenne entre la Terre et le Soleil, environ 150 millions de kilomètres."
q1086,Terre,"Combien de fois la Terre rentre-t-elle dans le Soleil?",2,Environ 100,Environ 1 000,Environ 1 million,Environ 1 milliard,C,"Environ 1,3 million de Terres rentreraient dans le volume du Soleil."
q1087,Système Solaire,"Quelle planète a été découverte en dernier?",1,Uranus,Neptune,Pluton,Mars,B,"Neptune a été la dernière planète découverte (1846), bien que Pluton ait été découverte plus tard (1930) mais ne soit plus classée comme planète."
q1088,Étoiles,"Qu'est-ce qui maintient les étoiles brillantes?",2,Combustion de carburant,Fusion nucléaire,Reflet du Soleil,Électricité,B,"Les étoiles brillent en raison de la fusion nucléaire dans leurs noyaux, où des atomes d'hydrogène fusionnent en hélium libérant de l'énergie."
q1089,Système Solaire,"Quelle est la couleur de Neptune?",1,Rouge,Verte,Bleue,Jaune,C,"Neptune apparaît bleue en raison du méthane dans son atmosphère, qui absorbe la lumière rouge et réfléchit la lumière bleue."
q1090,Terre,"Quelle est la vitesse orbitale de la Terre autour du Soleil?",2,"30 km/h","300 km/h","3 000 km/h","30 000 km/h",D,"La Terre orbite autour du Soleil à environ 107 000 km/h ou 29,8 km/s, complétant une orbite en 365,25 jours."
q1091,Lune,"Quand a eu lieu le premier alunissage habité?",1,1959,1969,1979,1989,B,"Le premier alunissage habité a eu lieu le 20 juillet 1969, avec la mission Apollo 11 et les astronautes Neil Armstrong et Buzz Aldrin."
q1092,Système Solaire,"Quelle planète a la plus grande montagne volcanique?",2,Terre,Vénus,Mars,Jupiter,C,"Le Mont Olympe sur Mars est la plus grande montagne volcanique du Système Solaire, avec 21,9 km de hauteur."
q1093,Astronomie,"Qu'est-ce que les météores?",1,Étoiles filantes,Comètes,Petites planètes,Galaxies,A,"Les météores sont des fragments de roche ou de métal qui brûlent en entrant dans l'atmosphère terrestre, créant le phénomène visuel des 'étoiles filantes'."
q1094,Système Solaire,"Quelle planète a des tempêtes avec des éclairs de couleur bleue?",2,Terre,Jupiter,Saturne,Neptune,C,"Saturne a des tempêtes électriques avec des éclairs qui émettent de la lumière bleue, beaucoup plus puissants que les éclairs terrestres."
q1095,Soleil,"Quelle est la couche visible du Soleil que nous voyons?",2,Noyau,Photosphère,Chromosphère,Couronne,B,"La photosphère est la couche visible du Soleil, où la température est d'environ 5 500°C et d'où provient la majeure partie de la lumière solaire."
q1096,Terre,"Combien de continents existent sur Terre?",1,5,6,7,8,C,"La Terre a 7 continents : Afrique, Amérique du Nord, Amérique du Sud, Antarctique, Asie, Europe et Océanie."
q1097,Système Solaire,"Quelle planète a le plus grand système d'anneaux?",2,Jupiter,Saturne,Uranus,Neptune,B,"Saturne a le plus grand et le plus spectaculaire système d'anneaux, s'étendant sur des centaines de milliers de kilomètres."
q1098,Astronomie,"Qu'est-ce qu'un satellite naturel?",1,Vaisseau spatial,Objet orbitant une planète,Étoile,Astéroïde,B,"Un satellite naturel est un corps céleste qui orbite autour d'une planète ou d'un autre corps plus grand. La Lune est le satellite naturel de la Terre."
q1099,Système Solaire,"Quelle planète a l'inclinaison axiale la plus extrême?",2,Terre,Mars,Uranus,Vénus,C,"Uranus a une inclinaison axiale de 97,77 degrés, faisant que son axe de rotation est presque dans le plan de son orbite."
q1100,Étoiles,"Quelle est la deuxième étoile la plus proche de la Terre?",2,Sirius,Alpha du Centaure,Proxima du Centaure,Bételgeuse,C,"Proxima du Centaure, partie du système Alpha du Centaure, est l'étoile la plus proche de la Terre après le Soleil, à 4,24 années-lumière."
