baseId ,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
astro_00026,Solar System,What connects Saturn's E ring to one of its moons?,2,Titan's atmosphere,Enceladus' geysers,Mimas' craters,Rhea's orbit,B,Saturn's E ring is connected to Enceladus through the moon's geyser activity that feeds particles into the ring.
astro_00027,Stellar Objects,What determines whether a core-collapse supernova is classified as Type II Ib or Ic?,5,The star's age,The star's temperature,The progenitor star's outer layers,The explosion energy,C,Core-collapse supernovae are classified based on the progenitor star's characteristics and outer hydrogen layers.
astro_00028,Relativity & Fundamental Physics,What did Einstein's general theory of relativity predict about space and time?,2,They are separate entities,They form a unified spacetime,They don't exist,They are illusions,B,General relativity describes space and time as a unified four-dimensional spacetime that can be curved by mass and energy.
astro_00029,Scientists,What disease did Stephen Hawking overcome to become a renowned physicist?,3,Multiple sclerosis,ALS (Lou Gehrig's disease),Parkinson's disease,Muscular dystrophy,B,Stephen Hawking was diagnosed with ALS (amyotrophic lateral sclerosis) in 1963 but continued his groundbreaking work for decades.
astro_00030,Stellar Objects,What do reflection nebulae do to starlight?,3,Absorb it,Reflect it,Emit it,Bend it,B,Reflection nebulae reflect light from nearby stars creating beautiful blue-colored clouds in space.
astro_00031,Stellar Objects,What do supernovae create that is crucial for the universe?,3,Energy,Heavy elements,Stellar Objects,Neutron stars,B,Supernovae create and distribute heavy elements throughout the universe essential for planet and life formation.
astro_00032,Galaxies & Cosmology,"What does ""fc"" represent in the Drake Equation?",5,Fraction of civilizations,Fraction of communicating civilizations,Fraction of planets with continents,Fraction of carbon-based life,B,The parameter fc represents the fraction of civilizations that develop technology for interstellar communication.
astro_00033,Galaxies & Cosmology,"What does ""L"" represent in the Drake Equation?",5,Length of planetary orbits,Lifetime of communicating civilizations,Light-years to nearest star,Level of technology,B,The parameter L represents the length of time that civilizations release detectable signals into space.
astro_00034,Galaxies & Cosmology,"What does ""ne"" represent in the Drake Equation?",5,Number of Earths,Number of planets per star system,Number of electrons,Number of ecosystems,B,The parameter ne represents the average number of planets that could potentially support life per star.
astro_00035,Relativity & Fundamental Physics,What does E = mc² mean?,2,Energy equals mass times speed,Energy is proportional to time,Energy equals mass times the speed of light squared,Energy increases with heat,C,Einstein’s formula shows mass and energy are equivalent.
astro_00036,Relativity & Fundamental Physics,What does Einstein's famous equation E=mc² represent?,2,Energy equals mass times the speed of light,Mass-energy equivalence,The speed of light formula,The theory of gravity,B,"E=mc² represents mass-energy equivalence, showing that mass and energy are interchangeable."
astro_00037,General Curiosities,What does space smell like according to astronauts?,5,Nothing (no smell),Flowers,Hot metal and welding fumes,Ozone,C,"Astronauts report that space (or rather, their spacesuits after spacewalks) smells like hot metal and welding fumes."
astro_00038,Worlds Beyond,What does TESS stand for?,4,Transiting Exoplanet Survey Satellite,Terrestrial Exoplanet Search System,Telescope for Exoplanet Spectral Studies,Transiting Earth-like Star Survey,A,TESS is the Transiting Exoplanet Survey Satellite that searches for exoplanets using the transit method.
astro_00039,Galaxies & Cosmology,What does the Drake Equation estimate?,2,The number of stars in the galaxy,The number of communicating alien civilizations,The age of the universe,Mass of Stellar Objects,B,It estimates the number of civilizations in the galaxy that might communicate with us.
astro_00040,Galaxies & Cosmology,What does the Fermi Paradox question?,3,How stars form,Where the aliens are,Why galaxies spin,What Stellar Objects are made of,B,It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe.
astro_00041,Galaxies & Cosmology,"What does the parameter ""fl"" represent in the Drake Equation?",3,Fraction of planets with life,Fraction of life that becomes intelligent,Fraction of stars with planets,Fraction of intelligent life that communicates,A,The parameter fl represents the fraction of suitable planets on which life actually appears.
astro_00042,Worlds Beyond,"What does the term ""exoplanet"" mean?",1,A planet outside our galaxy,A planet outside our Solar System,A planet made of exotic matter,An exploded planet,B,An exoplanet is any planet that orbits a star outside our Solar System.
astro_00043,Small Solar System Bodies,What gives a comet its tail?,1,Its magnetic field,Solar wind,Rotation speed,Gravity,B,"Solar wind and sunlight cause the comet’s ices to vaporize, forming a tail."
astro_00044,Stellar Objects,What happens at the photon sphere of a black hole?,2,Light escapes easily,Light orbits the black hole,Light is absorbed,Light is reflected,B,At the photon sphere light can orbit the black hole in circular paths due to extreme gravitational curvature.
astro_00045,Stellar Objects,What happens if you cross the event horizon of a black hole?,1,You can come back easily,Time stops for you,You can't escape,You see the entire universe,C,The event horizon is the point of no return—nothing escapes beyond it.
astro_00046,Relativity & Fundamental Physics,What happens to length at high speeds?,3,It increases,It decreases,It stays the same,It oscillates,B,Length contraction occurs at high speeds where objects appear shorter in the direction of motion.
astro_00047,Stellar Objects,What happens to the core of a massive star during a supernova?,3,It expands,It collapses,It disappears,It cools down,B,During a core-collapse supernova the core of a massive star collapses rapidly before exploding.
astro_00048,Relativity & Fundamental Physics,What happens to time as you approach the speed of light?,2,Time speeds up,Time slows down,Time stops,Time reverses,B,"According to special relativity, time dilation occurs as you approach the speed of light, causing time to slow down relative to stationary observers."
astro_00049,Small Solar System Bodies,What happens when a comet approaches the Sun?,2,It melts completely,It develops a tail,It explodes,It changes orbit,B,"As a comet approaches the Sun, solar radiation causes ice to sublimate, creating the characteristic tail."
astro_00050,Stellar Objects,What happens when a massive star runs out of nuclear fuel?,2,It becomes a white dwarf,It explodes as a supernova,It becomes a red giant,It simply fades away,B,"When a massive star runs out of nuclear fuel, it collapses and explodes as a supernova, potentially forming a neutron star or black hole."
astro_00051,Stellar Objects,What is a black hole?,1,A region of space with gravity so strong that nothing can escape,A start with low light,A type of star that emits strong light,An asteroid belt,A,A black hole has gravity so intense that not even light can escape it.
astro_00052,Galaxies & Cosmology,What is a blazar?,5,Active galactic nucleus with jet toward Earth,Exploding galaxy,Binary galaxy system,Galaxy with no dark matter,A,A blazar is an active galactic nucleus with a relativistic jet pointed toward Earth making it extremely bright.
astro_00053,Stellar Objects,What is a blue straggler?,3,A star that appears younger than expected,A very hot white dwarf,A rapidly rotating neutron star,A binary star system,A,Blue stragglers are stars that appear younger and bluer than other stars in their cluster due to mass transfer or mergers.
astro_00054,Worlds Beyond,What is a circumbinary planet?,4,A planet with two moons,A planet orbiting two stars,A planet with rings,A planet between two stars,B,A circumbinary planet orbits around both stars in a binary star system.
astro_00055,Galaxies & Cosmology,What is a dwarf galaxy?,1,A very small galaxy,A very dense galaxy,A very young galaxy,A very old galaxy,A,A dwarf galaxy is a small galaxy containing only a few billion stars compared to hundreds of billions in larger galaxies.
astro_00056,Galaxies & Cosmology,What is a galaxy cluster?,1,A group of stars,A group of galaxies,A group of planets,A group of nebulae,B,A galaxy cluster is a gravitationally bound collection of hundreds to thousands of galaxies.
astro_00057,Worlds Beyond,What is a hot Jupiter?,2,A very hot star,A Jupiter-like planet close to its star,A planet made of hot gas,A star similar to Jupiter,B,A hot Jupiter is a gas giant exoplanet that orbits very close to its host star.
astro_00058,Small Solar System Bodies,What is a key difference between comets and asteroids?,1,Comets have tails; asteroids do not,Asteroids are icy,Comets orbit Earth,Asteroids are found in the Kuiper Belt,A,Comets have tails when near the Sun due to sublimation of ices.
astro_00059,Relativity & Fundamental Physics,What is a light-year a measure of?,2,Time,Distance,Mass,Brightness,B,A light-year measures the distance light travels in one year.
astro_00060,Small Solar System Bodies,What is a meteor shower?,3,Earth passing through comet debris,Asteroid fragments,Solar particles,Cosmic dust,A,Meteor showers occur when Earth passes through debris trails left by comets creating multiple meteors from the same radiant.
astro_00061,Worlds Beyond,What is a mini-Neptune?,2,Planet between Earth and Neptune size,Small version of Neptune,Neptune's moon,Neptune-like atmosphere,A,Mini-Neptunes are planets with radii between Earth and Neptune common among discovered exoplanets.
astro_00062,Small Solar System Bodies,What is a near-Earth object (NEO)?,2,An object near Earth's surface,An asteroid or comet with an orbit close to Earth,A satellite of Earth,A piece of space debris,B,A near-Earth object is an asteroid or comet whose orbit brings it close to Earth's orbit.
astro_00063,Relativity & Fundamental Physics,What is a neutron star?,2,A dense gas cloud,Collapsed core of a massive star,A baby star,A rogue planet,B,Neutron stars are remnants of supernova explosions from massive stars.
astro_00064,Galaxies & Cosmology,What is a quasar?,2,A type of star,An active galactic nucleus,A type of planet,A stellar explosion,B,A quasar is an extremely luminous active galactic nucleus powered by a supermassive black hole.
astro_00065,Galaxies & Cosmology,What is a starburst galaxy?,3,A galaxy forming many stars rapidly,A galaxy with exploding stars,A galaxy shaped like a star,A galaxy orbiting a star,A,A starburst galaxy is undergoing an exceptionally high rate of star formation.
astro_00066,Worlds Beyond,What is a super-Earth?,2,A planet larger than Earth but smaller than Neptune,A very habitable planet,A planet with superpowers,A planet orbiting a supergiant,A,A super-Earth is an exoplanet with a mass larger than Earth's but smaller than Neptune's.
astro_00067,Stellar Objects,What is a Thorne-Żytkow object?,5,A neutron star inside a red giant,A black hole-neutron star binary,A white dwarf-red giant system,A pulsar with a planetary system,A,A Thorne-Żytkow object is a theoretical hybrid star with a neutron star core surrounded by a red giant envelope.
astro_00068,Worlds Beyond,What is a tidally locked planet?,2,A planet with no moons,A planet that doesn't rotate,A planet with one side always facing its star,A planet with extreme seasons,C,A tidally locked planet has one side permanently facing its star like the Moon faces Earth.
astro_00069,Stellar Objects,What is a white hole in theoretical physics?,1,The opposite of a black hole,A very bright star,A type of neutron star,A theoretical time machine,A,A white hole is a theoretical object that is the time-reverse of a black hole expelling matter and energy.
astro_00070,Space Observation,What is adaptive optics?,3,Adjusting telescope mirrors,Correcting atmospheric distortion,Changing telescope focus,Rotating telescope orientation,B,Adaptive optics systems correct for atmospheric distortion in real-time to improve image quality.
astro_00071,Stellar Objects,What is AdS/CFT correspondence?,5,Duality between gravity and field theory,Black hole classification system,Spacetime curvature formula,Quantum gravity theory,A,AdS/CFT correspondence is a theoretical duality between gravity in Anti-de Sitter space and conformal field theory.
astro_00072,Worlds Beyond,What is an exoplanet?,1,A moon outside the Solar System,A star in another galaxy,A planet outside the Solar System,A comet,C,Exoplanets are planets that orbit stars beyond our Solar System.
astro_00073,Galaxies & Cosmology,What is at the center of most galaxies?,3,A neutron star,A supermassive black hole,A white dwarf,A pulsar,B,"Most galaxies, including the Milky Way, have supermassive Stellar Objects at their centers."
astro_00074,Worlds Beyond,What is atmospheric characterization?,3,Studying exoplanet atmosphere composition,Measuring planetary mass,Calculating orbital periods,Determining planetary radius,A,Atmospheric characterization involves studying the composition and properties of exoplanet atmospheres using spectroscopy.
astro_00075,Stellar Objects,What is black hole complementarity?,5,Black holes have mirror twins in parallel universes,Stellar Objects have complements,A black hole's mass is always equal to its temperature,Observers see different realities near a black hole,D,Black hole complementarity suggests information appears destroyed to outside observers but preserved to infalling observers.
astro_00076,Stellar Objects,What is convective overshooting?,5,Mixing beyond convective boundaries,Surface convection patterns,Core convection instabilities,Stellar wind acceleration,A,Convective overshooting occurs when convective motions extend beyond the formal convective boundary mixing stellar material.
astro_00077,Relativity & Fundamental Physics,What is dark matter believed to do?,4,Emit light,Slow down stars,Add mass to galaxies,Cause solar flares,C,Dark matter adds gravitational mass but does not emit light.
astro_00078,Galaxies & Cosmology,What is dark matter's role in galaxy formation?,4,It provides energy,It provides structure,It provides light,It provides heat,B,Dark matter provides the gravitational scaffolding that allows normal matter to form galaxies and larger structures.
astro_00079,Relativity & Fundamental Physics,What is frame dragging?,4,Time dilation,Space rotation,Length contraction,Mass increase,B,Frame dragging is the effect where rotating massive objects drag spacetime around with them.
astro_00080,Stellar Objects,What is frame-dragging around a black hole?,2,Time dilation effects,Spacetime rotation effects,Gravitational lensing,Tidal forces,B,Frame-dragging is the effect where rotating massive objects drag spacetime around with them.
astro_00081,Galaxies & Cosmology,What is galactic cannibalism?,3,Galaxies eating stars,Larger galaxies absorbing smaller ones,Stars eating planets,Stellar Objects eating galaxies,B,Galactic cannibalism occurs when larger galaxies gravitationally capture and absorb smaller galaxies.
astro_00082,Relativity & Fundamental Physics,What is gravitational redshift?,3,Light becomes redder in gravity,Light becomes bluer in gravity,Light disappears in gravity,Light bends in gravity,A,Gravitational redshift occurs when light loses energy climbing out of a gravitational field appearing redder.
astro_00083,Relativity & Fundamental Physics,What is gravitational time dilation?,3,Time moving faster in strong gravity,Time moving slower in strong gravity,Time stopping in gravity,Gravity affecting clock mechanisms,B,"Gravitational time dilation means time moves slower in stronger gravitational fields, as predicted by general relativity."
astro_00084,Stellar Objects,What is Hawking radiation temperature?,2,Inversely proportional to mass,Directly proportional to mass,Independent of mass,Proportional to mass squared,A,Hawking radiation temperature is inversely proportional to black hole mass: T = ℏc³/8πGMk.
astro_00085,Stellar Objects,What is Hawking radiation?,3,Radiation emitted by Stellar Objects,Radiation that creates Stellar Objects,Radiation that destroys Stellar Objects,Radiation from Stephen Hawking's experiments,A,Hawking radiation is theoretical radiation predicted to be emitted by Stellar Objects due to quantum effects near the event horizon.
astro_00086,Stellar Objects,What is Hawking-Unruh radiation?,5,Radiation from accelerating observers,Radiation from Stellar Objects only,Radiation from white holes,Radiation from wormholes,A,Hawking-Unruh radiation connects black hole radiation to radiation observed by accelerating observers.
astro_00087,Space Observation,What is interferometry in astronomy?,3,Combining signals from multiple telescopes,Blocking unwanted signals,Amplifying weak signals,Filtering radio interference,A,Interferometry combines signals from multiple telescopes to achieve higher resolution than any single telescope.
astro_00088,Space Observation,What is interferometry's main advantage?,3,Higher resolution than single telescopes,Cheaper construction costs,Simpler operation,Better weather resistance,A,Interferometry combines multiple telescopes to achieve higher resolution than any single telescope could provide.
astro_00089,General Curiosities,What is Olbers' paradox?,3,Why is the night sky dark?,Why do stars shine?,Why is space cold?,Why does the universe expand?,A,Olbers' paradox asks why the night sky is dark if the universe is infinite and uniformly filled with stars.
astro_00090,Galaxies & Cosmology,What is one of the most uncertain parameters in the Drake Equation?,4,Star formation rate,Fraction of stars with planets,Fraction of planets that develop intelligent life,Number of planets per star,C,The fraction of planets that develop intelligent life remains highly speculative and uncertain in the Drake Equation.
astro_00091,Stellar Objects,What is Population III stars?,3,The first generation of stars,Very metal-rich stars,Binary star systems,Planetary nebula central stars,A,Population III stars are the hypothetical first generation of stars formed from primordial hydrogen and helium.
astro_00092,Relativity & Fundamental Physics,What is proper acceleration?,3,Acceleration measured by accelerometer,Coordinate acceleration,Gravitational acceleration,Centripetal acceleration,A,Proper acceleration is the acceleration measured by an accelerometer carried by the accelerating object.
astro_00093,Relativity & Fundamental Physics,What is proper time?,3,Time measured by a moving observer,Time measured by a stationary observer,Time at the speed of light,Universal time,A,Proper time is the time measured by an observer in their own reference frame.
astro_00094,Relativity & Fundamental Physics,What is quantum gravity?,5,A strong gravitational field,A field around protons,Theory uniting general relativity and quantum mechanics,Type of black hole radiation,C,Quantum gravity attempts to unify gravity with quantum physics at very small scales.
astro_00095,Relativity & Fundamental Physics,What is redshift used to measure?,2,Stellar temperature,Age of planets,Expansion of the universe,Gravity,C,Redshift shows that galaxies are moving away due to universal expansion.
astro_00096,Stellar Objects,What is stellar aberration?,2,Apparent star position changes,Star brightness variations,Stellar spectrum shifts,Star formation rates,A,Stellar aberration is the apparent change in star positions due to Earth's orbital motion around the Sun.
astro_00097,Galaxies & Cosmology,"What is the ""Great Filter"" theory in relation to the Fermi Paradox?",3,A space telescope filter,A barrier preventing civilizations from advancing,An infrared filter for a telescope,A type of cosmic radiation,B,The Great Filter theory suggests there's a nearly insurmountable barrier that prevents most civilizations from reaching advanced stages.
astro_00098,Galaxies & Cosmology,"What is the ""Where is everybody?"" question attributed to?",2,Carl Sagan,Frank Drake,Enrico Fermi,Stephen Hawking,C,"Enrico Fermi famously asked ""Where is everybody?"" during a lunch conversation in 1950 leading to the Fermi Paradox."
astro_00099,Space Observation,What is the advantage of space-based gravitational wave detectors?,3,No atmospheric interference,Longer baselines,Better isolation from vibrations,All of the above,D,Space-based detectors like LISA will have all these advantages over ground-based gravitational wave detectors.
astro_00100,Galaxies & Cosmology,What is the Aestivation Hypothesis?,4,Aliens hibernate,Aliens wait for better conditions,Aliens sleep through winter,Aliens are dormant,B,The Aestivation Hypothesis suggests advanced civilizations might be waiting for the universe to cool down for more efficient computation.
astro_00101,Relativity & Fundamental Physics,What is the Alcubierre metric?,4,Spacetime geometry for faster-than-light travel,Black hole interior geometry,Wormhole geometry,Cosmological spacetime,A,The Alcubierre metric describes a spacetime geometry that could theoretically allow faster-than-light travel.
astro_00102,General Curiosities,What is the anthropic principle?,4,Universe appears fine-tuned for life,Humans are central to universe,Life is inevitable everywhere,Intelligence always emerges,A,The anthropic principle suggests the universe's physical constants appear fine-tuned to allow the existence of life.
astro_00103,Space Missions,What is the Artemis program's ultimate goal?,4,Return to the Moon,Go to Mars,Build space stations,Mine asteroids,A,The Artemis program aims to return humans to the Moon and establish a sustainable lunar presence.
astro_00104,Small Solar System Bodies,What is the asteroid belt?,1,A region between Earth and Mars,A region between Mars and Jupiter,A region beyond Neptune,A region around Saturn,B,The asteroid belt is located between Mars and Jupiter and contains most of the Solar System's asteroids.
astro_00105,Space Observation,What is the Atacama Large Millimeter Array (ALMA)?,3,Radio telescope array,Optical telescope,X-ray observatory,Gamma-ray detector,A,ALMA is a radio telescope array observing millimeter and submillimeter wavelengths.
astro_00106,Galaxies & Cosmology,What is the Berserker Hypothesis?,4,Self-replicating machines destroy life,Aliens are warriors,Space is dangerous,Civilizations become aggressive,A,The Berserker Hypothesis suggests that self-replicating machines systematically destroy biological life throughout the galaxy.
astro_00107,Worlds Beyond,What is the biosignature detection challenge?,3,Distinguishing biological from geological processes,Finding planets with atmospheres,Measuring atmospheric composition,Detecting water vapor,A,The main challenge is distinguishing biosignatures produced by life from those created by geological processes.
astro_00108,Stellar Objects,What is the black hole entropy formula?,5,S = A/4G,S = kA/4ℏc,S = A/4ℏG,S = kA/4G,C,Black hole entropy is S = A/4ℏG where A is the area of the event horizon in Planck units.
astro_00109,Relativity & Fundamental Physics,What is the black hole information paradox related to?,5,Quantum mechanics and general relativity,Special and general relativity,Thermodynamics and gravity,Electromagnetism and gravity,A,The information paradox arises from conflicts between quantum mechanics and general relativity at black hole event horizons.
astro_00110,Stellar Objects,What is the boundary around a black hole called?,2,Photon ring,Event horizon,Accretion disk,Singularity,B,The event horizon is the point beyond which nothing can escape a black hole.
astro_00111,Relativity & Fundamental Physics,What is the Brans-Dicke theory?,5,Alternative theory of gravity,Quantum gravity theory,Unified field theory,String theory extension,A,Brans-Dicke theory is an alternative to general relativity that includes a scalar field coupled to gravity.
astro_00112,Space Missions,What is the Breakthrough Starshot initiative?,4,Mars colonization,Interstellar probe mission,Asteroid mining,Solar power satellites,B,Breakthrough Starshot aims to send tiny probes to Proxima Centauri using light sails and powerful lasers.
astro_00113,Space Missions,What is the Breakthrough Starshot's target speed?,4,5% speed of light,10% speed of light,20% speed of light,50% speed of light,C,Breakthrough Starshot aims to accelerate tiny probes to 20% the speed of light using powerful lasers.
astro_00114,Galaxies & Cosmology,What is the Butcher-Oemler effect?,4,Evolution of galaxy clusters,Galaxy merger rates,Stellar population changes,Dark matter interactions,A,The Butcher-Oemler effect is the observation that distant galaxy clusters contain more blue star-forming galaxies.
astro_00115,Relativity & Fundamental Physics,What is the Chandrasekhar limit?,5,Maximum size of a galaxy,Minimum temperature for fusion,Mass limit for white dwarfs,Limit for light speed,C,"White dwarfs cannot exceed ~1.4 solar masses—above this, they collapse into neutron stars or Stellar Objects."
astro_00116,Stellar Objects,What is the Chandrasekhar-Schönberg limit?,5,Maximum helium core mass in main sequence stars,Maximum white dwarf mass,Maximum neutron star mass,Maximum black hole spin,A,The Chandrasekhar-Schönberg limit is about 10% of the star's mass the maximum helium core mass before the star leaves main sequence.
astro_00117,Stellar Objects,What is the closest star to Earth after the Sun?,2,Sirius,Vega,Proxima Centauri,Betelgeuse,C,"Proxima Centauri, part of the Alpha Centauri system, is the closest star to Earth at about 4.24 light-years away."
astro_00118,Stellar Objects,What is the closest star to Earth?,1,Proxima Centauri,Sirius,Alpha Centauri A,The Sun,D,"The Sun is the closest star to Earth, about 150 million km away."
astro_00119,General Curiosities,What is the coldest place in the Solar System?,4,Pluto's surface,Neptune's atmosphere,The Moon's poles,Triton's surface,D,Triton Neptune's largest moon has surface temperatures as low as -235°C making it the coldest place in the Solar System.
astro_00120,Space Observation,"what is the collecting area advantage of a telescope?""",3,More light gathering power,Better resolution,Faster observations,Cheaper operation,A,Larger collecting area provides more light gathering power enabling observation of fainter objects.
astro_00121,Small Solar System Bodies,What is the collisional cascade?,4,Process of asteroid fragmentation,Comet formation mechanism,Planetary ring dynamics,Meteorite shower creation,A,The collisional cascade is the process where asteroid collisions create fragments that undergo further collisions.
astro_00122,Small Solar System Bodies,What is the coma of a comet?,3,The nucleus,The tail,The atmosphere around the nucleus,The orbit,C,The coma is the atmosphere of gas and dust that forms around a comet's nucleus when it approaches the Sun.
astro_00123,Solar System,What is the composition of Titan's atmosphere?,4,Mostly oxygen,Mostly nitrogen,Mostly methane,Mostly carbon dioxide,B,Titan's atmosphere is about 95% nitrogen with small amounts of methane and other hydrocarbons.
astro_00124,General Curiosities,What is the cosmic microwave background temperature?,3,2.7 Kelvin,0 Kelvin,273 Kelvin,3000 Kelvin,A,The cosmic microwave background has a nearly uniform temperature of about 2.7 Kelvin.
astro_00125,Galaxies & Cosmology,What is the cosmic web?,3,Galaxy distribution pattern,Star formation pattern,Planet formation pattern,Black hole distribution,A,The cosmic web is the largest-scale structure of the universe showing how galaxies are distributed.
astro_00126,Relativity & Fundamental Physics,What is the cosmological constant?,5,Universal expansion rate,Dark energy density,Speed of light,Gravitational strength,B,The cosmological constant represents the energy density of empty space associated with dark energy.
astro_00127,Galaxies & Cosmology,What is the Dark Forest Theory?,5,Space is dark,Aliens hide from each other,Forests block signals,Communication is impossible,B,The Dark Forest Theory suggests civilizations remain silent because revealing themselves invites destruction from others.
astro_00128,Solar System,What is the diameter of Enceladus approximately?,5,300 kilometers,500 kilometers,700 kilometers,900 kilometers,B,Enceladus is about 500 kilometers in diameter making it the sixth-largest moon of Saturn.
astro_00129,Small Solar System Bodies,What is the difference between a meteoroid meteorite and meteor?,3,Size differences,Location differences,Composition differences,Age differences,B,A meteoroid is in space a meteor is in the atmosphere and a meteorite has landed on Earth.
astro_00130,Galaxies & Cosmology,What is the Doomsday Argument related to the Fermi Paradox?,3,Civilizations destroy themselves,The universe will end,Earth will be destroyed,Stars will die out,A,The Doomsday Argument suggests that civilizations tend to destroy themselves before becoming spacefaring explaining the silence.
astro_00131,Galaxies & Cosmology,What is the Doomsday Argument?,3,Civilizations destroy themselves before contact,The universe will end soon,Earth faces imminent destruction,Stars will die out quickly,A,The Doomsday Argument suggests civilizations tend to destroy themselves before becoming spacefaring.
astro_00132,Space Missions,What is the Double Asteroid Redirection Test (DART) mission?,1,Study asteroids,Deflect an asteroid,Mine asteroids,Map asteroids,B,DART successfully demonstrated asteroid deflection by impacting the asteroid Dimorphos in 2022.
