baseId,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
q1031,Sol,"¿De qué está hecho principalmente el Sol?",1,Rocas,Agua,Hidrógeno y Helio,Oxígeno,C,"El Sol está compuesto principalmente de hidrógeno (cerca del 73%) y helio (cerca del 25%), con trazas de elementos más pesados."
q1032,Sistema Solar,"¿Qué planeta tiene la Gran Tormenta Oscura?",2,Júpiter,Saturno,Urano,Neptuno,D,"Neptuno presenta periódicamente grandes tormentas oscuras en su atmósfera, similares a la Gran Mancha Roja de Júpiter pero temporales."
q1033,Tierra,"¿Cuál es la velocidad de rotación de la Tierra?",2,Cerca de 100 km/h,Cerca de 500 km/h,Cerca de 1.600 km/h,Cerca de 5.000 km/h,C,"En el ecuador, la Tierra gira a aproximadamente 1.670 km/h, velocidad que disminuye conforme nos acercamos a los polos."
q1034,Luna,"¿Qué sucede durante un eclipse solar?",2,Tierra entre Sol y Luna,Luna entre Sol y Tierra,Sol entre Tierra y Luna,Marte pasa por delante,B,"El eclipse solar ocurre cuando la Luna pasa entre la Tierra y el Sol, bloqueando total o parcialmente la luz solar."
q1035,Sistema Solar,"¿Qué planeta tiene el volcán más grande del Sistema Solar?",2,Tierra,Marte,Júpiter,Venus,B,"Marte tiene el Monte Olimpo, el volcán más grande del Sistema Solar con 22 km de altura, casi 3 veces el Monte Everest."
q1036,Estrellas,"¿Cuál es la constelación que contiene las Tres Marías?",1,Cruz del Sur,Orión,Escorpio,Osa Mayor,B,"Las Tres Marías forman parte de la constelación de Orión, representando el cinturón del cazador mitológico."
q1037,Sistema Solar,"¿Qué planeta podría flotar en el agua?",2,Tierra,Saturno,Marte,Mercurio,B,"Saturno tiene densidad promedio menor que el agua (cerca de 0,687 g/cm³), entonces teóricamente flotaría si hubiera un océano lo suficientemente grande."
q1038,Astronomía,"¿Qué es un año luz?",2,Tiempo de viaje,Distancia recorrida por la luz en 1 año,Edad de una estrella,Velocidad de la luz,B,"Un año luz es la distancia que la luz recorre en el vacío durante un año, equivalente a cerca de 9,5 billones de kilómetros."
q1039,Sistema Solar,"¿Qué planeta tiene la órbita más excéntrica?",2,Tierra,Marte,Mercurio,Venus,C,"Mercurio tiene la órbita más excéntrica (alargada) entre los planetas, con su distancia al Sol variando significativamente."
q1040,Luna,"¿Por qué la Luna no tiene atmósfera?",2,Muy fría,Gravedad débil,Muy cerca del Sol,Hecha de roca,B,"La Luna tiene gravedad muy débil (1/6 de la Tierra) para retener una atmósfera, haciendo que los gases escapen al espacio."
q1041,Sistema Solar,"¿Cuál es el planeta más distante del Sol?",1,Saturno,Urano,Neptuno,Plutón,C,"Neptuno es el planeta más distante del Sol, orbitando a cerca de 4,5 mil millones de kilómetros de distancia."
q1042,Tierra,"¿Cuál es el nombre de la capa de la atmósfera donde vivimos?",1,Estratosfera,Troposfera,Mesosfera,Termosfera,B,"La troposfera es la capa más baja de la atmósfera terrestre, donde ocurre el clima y donde vivimos, extendiéndose hasta cerca de 12 km de altitud."
q1043,Estrellas,"¿Qué le sucederá al Sol en el futuro distante?",2,Explotar como supernova,Convertirse en gigante roja,Convertirse en agujero negro,Desaparecer,B,"En cerca de 5 mil millones de años, el Sol se expandirá en una gigante roja, posiblemente engullendo los planetas internos antes de convertirse en una enana blanca."
q1044,Sistema Solar,"¿Qué planeta tiene los vientos más fuertes?",2,Tierra,Marte,Neptuno,Venus,C,"Neptuno tiene los vientos más fuertes del Sistema Solar, alcanzando velocidades de hasta 2.100 km/h, más de 5 veces la velocidad de un huracán terrestre."
q1045,Astronomía,"¿Cuántas constelaciones oficiales existen?",2,12,48,88,100,C,"La Unión Astronómica Internacional reconoce oficialmente 88 constelaciones, dividiendo toda la esfera celeste."
q1046,Sistema Solar,"¿Cuál es la temperatura aproximada en la superficie del Sol?",2,6.000°C,15.000°C,1.000.000°C,100.000°C,A,"La superficie del Sol (fotosfera) tiene una temperatura de aproximadamente 5.500-6.000°C, mientras que el núcleo llega a 15 millones de grados."
q1047,Tierra,"¿Qué causa el día y la noche?",1,Traslación de la Tierra,Rotación de la Tierra,Luna bloqueando el Sol,Nubes,B,"El día y la noche son causados por la rotación de la Tierra sobre su propio eje, que tarda 24 horas en completarse."
q1048,Sistema Solar,"¿Qué planeta tiene más de 80 lunas conocidas?",2,Tierra,Marte,Júpiter,Venus,C,"Júpiter tiene más de 90 lunas conocidas, siendo las 4 más grandes (Ío, Europa, Ganimedes y Calisto) llamadas lunas galileanas."
q1049,Astronomía,"¿Qué es la Vía Láctea?",1,Una estrella,Nuestra galaxia,Un planeta,Una nebulosa,B,"La Vía Láctea es la galaxia espiral donde está ubicado el Sistema Solar, conteniendo entre 200-400 mil millones de estrellas."
q1050,Sistema Solar,"¿En qué posición está la Tierra en el Sistema Solar?",1,1° planeta,2° planeta,3° planeta,4° planeta,C,"La Tierra es el tercer planeta desde el Sol, ubicado entre Venus y Marte en la zona habitable del Sistema Solar."
q1051,Luna,"¿Qué causa las fases de la Luna?",2,Sombra de la Tierra,Posición relativa Sol-Tierra-Luna,Rotación de la Luna,Nubes,B,"Las fases de la Luna son causadas por el cambio en la posición relativa entre Sol, Tierra y Luna, alterando la porción iluminada visible desde la Tierra."
q1052,Sistema Solar,"¿Qué planeta es conocido como el Lucero del Alba?",1,Marte,Júpiter,Venus,Mercurio,C,"Venus es llamado el Lucero del Alba o Lucero de la Tarde por ser el objeto más brillante en el cielo después del Sol y la Luna."
q1053,Estrellas,"¿Cuál es el color del Sol cuando se ve desde el espacio?",2,Amarillo,Naranja,Blanco,Azul,C,"Desde el espacio, el Sol aparece blanco porque emite todos los colores del espectro visible. Lo vemos amarillo en la Tierra debido a la dispersión atmosférica."
q1055,Tierra,"¿Cuánto tiempo tarda la Tierra en dar una vuelta completa sobre sí misma?",1,12 horas,24 horas,48 horas,365 días,B,"La Tierra completa una rotación en aproximadamente 24 horas (más precisamente 23h 56min), definiendo la duración de un día."
q1056,Sistema Solar,"¿Qué planeta no tiene luna?",1,Marte,Venus,Júpiter,Neptuno,B,"Venus y Mercurio son los únicos planetas sin lunas en el Sistema Solar. Venus posiblemente perdió sus lunas debido a la gravedad solar."
q1057,Astronomía,"¿Qué son las auroras boreales?",2,Reflejo del hielo,Partículas solares en la atmósfera,Nubes brillantes,Estrellas fugaces,B,"Las auroras boreales son causadas por partículas cargadas del viento solar interactuando con el campo magnético terrestre y gases atmosféricos."
q1058,Sistema Solar,"¿Cuál es el objeto más masivo del Sistema Solar?",1,Júpiter,La Tierra,El Sol,Saturno,C,"El Sol contiene el 99,86% de toda la masa del Sistema Solar, siendo 333.000 veces más masivo que la Tierra."
q1059,Luna,"¿La Luna se está alejando o acercando a la Tierra?",2,Acercándose,Alejándose,Distancia constante,Depende de la estación,B,"La Luna se aleja de la Tierra cerca de 3,8 cm por año debido a la transferencia de momento angular a través de las mareas."
q1060,Sistema Solar,"¿Qué planeta tiene el día más corto?",2,Tierra,Marte,Júpiter,Saturno,C,"Júpiter tiene el día más corto del Sistema Solar, completando una rotación en solo 9 horas y 55 minutos."
q1061,Estrellas,"¿Cuántas estrellas podemos ver a simple vista en una noche oscura?",2,Cientos,Algunos miles,Millones,Miles de millones,B,"En condiciones ideales, lejos de la contaminación lumínica, podemos ver cerca de 2.000 a 3.000 estrellas a simple vista."
q1062,Sistema Solar,"¿Qué es Plutón clasificado actualmente?",1,Planeta,Planeta enano,Asteroide,Cometa,B,"Plutón fue reclasificado como planeta enano en 2006 por la Unión Astronómica Internacional por no haber 'limpiado' su órbita de otros objetos."
q1063,Tierra,"¿Cuál es la edad aproximada de la Tierra?",2,"4,5 mil años","4,5 millones de años","4,5 mil millones de años","14 mil millones de años",C,"La Tierra tiene aproximadamente 4,5 mil millones de años, formada a partir de la nebulosa solar que también dio origen al Sol y otros planetas."
q1064,Sistema Solar,"¿Qué planeta tiene la atmósfera más densa?",2,Tierra,Marte,Venus,Mercurio,C,"Venus tiene la atmósfera más densa entre los planetas rocosos, con presión superficial 92 veces mayor que la de la Tierra."
q1065,Astronomía,"¿Qué es una nebulosa?",2,Galaxia distante,Nube de gas y polvo espacial,Planeta en formación,Estrella muerta,B,"Una nebulosa es una nube gigante de gas (principalmente hidrógeno) y polvo en el espacio, donde nuevas estrellas pueden nacer."
q1066,Sistema Solar,"¿Cuántos planetas rocosos existen en el Sistema Solar?",1,2,3,4,5,C,"Existen 4 planetas rocosos (terrestres): Mercurio, Venus, Tierra y Marte, ubicados en la parte interna del Sistema Solar."
q1067,Sol,"¿Cuál es el diámetro aproximado del Sol?",2,"100.000 km","700.000 km","1,4 millones de km","10 millones de km",C,"El Sol tiene un diámetro de aproximadamente 1,4 millones de kilómetros, cerca de 109 veces el diámetro de la Tierra."
q1068,Sistema Solar,"¿Qué planeta tiene las estaciones más extremas?",2,Tierra,Marte,Urano,Venus,C,"Urano tiene las estaciones más extremas debido a su inclinación de 98°, con cada polo quedando 42 años en la luz y 42 años en la oscuridad."
q1069,Luna,"¿Cuál es el fenómeno cuando la Luna parece más grande en el horizonte?",2,Superluna,Luna azul,Ilusión lunar,Perihelio lunar,C,"La ilusión lunar es un efecto óptico que hace que la Luna parezca más grande cuando está en el horizonte, aunque su tamaño angular sea el mismo."
q1070,Sistema Solar,"¿Cuál es el planeta más frío del Sistema Solar?",2,Neptuno,Urano,Plutón,Saturno,B,"Urano es el planeta más frío, con temperatura mínima de -224°C, aunque no sea el más distante del Sol."
q1071,Tierra,"¿En qué capa de la Tierra vivimos?",1,Núcleo,Manto,Corteza,Atmósfera,C,"Vivimos en la corteza terrestre, la capa más externa y delgada de la Tierra, con espesor de 5-70 km."
q1072,Astronomía,"¿Qué es el Cinturón de Kuiper?",2,Región interna del Sistema Solar,Región más allá de Neptuno,Atmósfera de Júpiter,Centro de la Vía Láctea,B,"El Cinturón de Kuiper es una región más allá de la órbita de Neptuno conteniendo miles de objetos helados, incluyendo Plutón."
q1073,Sistema Solar,"¿Cuántos planetas gaseosos existen en el Sistema Solar?",1,2,3,4,5,C,"Existen 4 planetas gaseosos (jovianos): Júpiter, Saturno, Urano y Neptuno, ubicados en la parte externa del Sistema Solar."
q1074,Estrellas,"¿Qué es una supergigante roja?",2,Planeta rojo,Estrella muy grande y fría,Tipo de galaxia,Nebulosa roja,B,"Una supergigante roja es una estrella masiva en la fase final de su vida, expandida y con temperatura superficial relativamente baja."
q1075,Sistema Solar,"¿Cuál es la característica principal de Mercurio?",2,Anillos brillantes,Cráteres y variación extrema de temperatura,Gran mancha,Océanos congelados,B,"Mercurio tiene superficie llena de cráteres y la mayor variación de temperatura del Sistema Solar: de -180°C por la noche a 430°C durante el día."
q1076,Luna,"¿La Luna tiene agua?",2,No tiene agua,Tiene hielo en cráteres polares,Tiene océanos,Tiene ríos,B,"Evidencias indican hielo de agua en cráteres permanentemente sombreados en los polos lunares, descubierto por misiones recientes."
q1077,Sistema Solar,"¿Qué son los planetas internos?",1,Cercanos al Sol,Distantes del Sol,Con anillos,Sin atmósfera,A,"Los planetas internos son los cuatro planetas rocosos más cercanos al Sol: Mercurio, Venus, Tierra y Marte."
q1078,Tierra,"¿Cuál es la forma de la órbita de la Tierra?",2,Círculo perfecto,Elipse,Cuadrado,Espiral,B,"La órbita de la Tierra es elíptica (ovalada), con el Sol en uno de los focos, variando de 147 a 152 millones de km del Sol."
q1079,Astronomía,"¿Qué es la magnitud estelar?",2,Tamaño de la estrella,Brillo aparente de la estrella,Temperatura de la estrella,Edad de la estrella,B,"La magnitud estelar es una medida del brillo aparente de un objeto celeste visto desde la Tierra, donde números menores indican mayor brillo."
q1080,Sistema Solar,"¿Qué planeta gira en sentido contrario a los demás?",2,Marte,Venus,Urano,Neptuno,B,"Venus tiene rotación retrógrada, girando en sentido contrario a la mayoría de los planetas, posiblemente debido a un impacto gigante en el pasado."
q1081,Sol,"¿Cuántos años tiene el Sol?",2,"4,6 millones de años","4,6 mil millones de años","10 mil millones de años","14 mil millones de años",B,"El Sol tiene aproximadamente 4,6 mil millones de años, formado a partir del colapso de parte de una nube molecular gigante."
q1083,Luna,"¿Cuál fue el primer ser vivo en orbitar la Luna?",2,Humanos,Perra Laika,Moscas,Chimpancé,C,"En 1968, moscas de la fruta a bordo de la sonda soviética Zond 5 fueron los primeros seres vivos en orbitar la Luna y regresar vivos a la Tierra."
q1084,Sistema Solar,"¿Qué planeta tiene el campo magnético más fuerte?",2,Tierra,Marte,Júpiter,Venus,C,"Júpiter tiene el campo magnético más fuerte del Sistema Solar, cerca de 20.000 veces más intenso que el de la Tierra."
q1085,Astronomía,"¿Qué es una unidad astronómica (UA)?",2,1 año luz,Distancia Tierra-Sol,Tamaño del Sol,Velocidad de la luz,B,"Una Unidad Astronómica (UA) es la distancia promedio entre la Tierra y el Sol, aproximadamente 150 millones de kilómetros."
q1086,Tierra,"¿Cuántas veces cabe la Tierra en el Sol?",2,Cerca de 100,Cerca de 1.000,Cerca de 1 millón,Cerca de 1 mil millones,C,"Aproximadamente 1,3 millones de Tierras cabrían dentro del volumen del Sol."
q1087,Sistema Solar,"¿Qué planeta fue descubierto por último?",1,Urano,Neptuno,Plutón,Marte,B,"Neptuno fue el último planeta en ser descubierto (1846), aunque Plutón fue descubierto después (1930) pero ya no es clasificado como planeta."
q1088,Estrellas,"¿Qué mantiene a las estrellas brillando?",2,Quema de combustible,Fusión nuclear,Reflejo del Sol,Electricidad,B,"Las estrellas brillan debido a la fusión nuclear en sus núcleos, donde átomos de hidrógeno se fusionan en helio liberando energía."
q1089,Sistema Solar,"¿Cuál es el color de Neptuno?",1,Rojo,Verde,Azul,Amarillo,C,"Neptuno aparece azul debido al metano en su atmósfera, que absorbe luz roja y refleja luz azul."
q1090,Tierra,"¿Cuál es la velocidad orbital de la Tierra alrededor del Sol?",2,"30 km/h","300 km/h","3.000 km/h","30.000 km/h",D,"La Tierra orbita el Sol a aproximadamente 107.000 km/h o 29,8 km/s, completando una vuelta en 365,25 días."
q1091,Luna,"¿Cuándo ocurrió el primer alunizaje tripulado?",1,1959,1969,1979,1989,B,"El primer alunizaje tripulado fue el 20 de julio de 1969, con la misión Apollo 11 y los astronautas Neil Armstrong y Buzz Aldrin."
q1092,Sistema Solar,"¿Qué planeta tiene la montaña volcánica más grande?",2,Tierra,Venus,Marte,Júpiter,C,"El Monte Olimpo en Marte es la montaña volcánica más grande del Sistema Solar, con 21,9 km de altura."
q1093,Astronomía,"¿Qué son los meteoros?",1,Estrellas fugaces,Cometas,Planetas pequeños,Galaxias,A,"Los meteoros son fragmentos de roca o metal que se queman al entrar en la atmósfera terrestre, creando el fenómeno visual de las 'estrellas fugaces'."
q1094,Sistema Solar,"¿Qué planeta tiene tormentas con rayos de color azul?",2,Tierra,Júpiter,Saturno,Neptuno,C,"Saturno tiene tormentas eléctricas con rayos que emiten luz azul, mucho más poderosos que los rayos terrestres."
q1095,Sol,"¿Cuál es la capa visible del Sol que vemos?",2,Núcleo,Fotosfera,Cromosfera,Corona,B,"La fotosfera es la capa visible del Sol, donde la temperatura es de cerca de 5.500°C y de donde proviene la mayor parte de la luz solar."
q1096,Tierra,"¿Cuántos continentes existen en la Tierra?",1,5,6,7,8,C,"La Tierra tiene 7 continentes: África, América del Norte, América del Sur, Antártida, Asia, Europa y Oceanía."
q1097,Sistema Solar,"¿Qué planeta tiene el mayor sistema de anillos?",2,Júpiter,Saturno,Urano,Neptuno,B,"Saturno tiene el mayor y más espectacular sistema de anillos, extendiéndose por cientos de miles de kilómetros."
q1098,Astronomía,"¿Qué es un satélite natural?",1,Nave espacial,Objeto que orbita un planeta,Estrella,Asteroide,B,"Un satélite natural es un cuerpo celeste que orbita un planeta u otro cuerpo mayor. La Luna es el satélite natural de la Tierra."
q1099,Sistema Solar,"¿Qué planeta tiene la inclinación axial más extrema?",2,Tierra,Marte,Urano,Venus,C,"Urano tiene inclinación axial de 97,77 grados, haciendo que su eje de rotación esté casi en el plano de su órbita."
q1100,Estrellas,"¿Cuál es la segunda estrella más cercana a la Tierra?",2,Sirio,Alfa Centauri,Próxima Centauri,Betelgeuse,C,"Próxima Centauri, parte del sistema Alfa Centauri, es la estrella más cercana a la Tierra después del Sol, a 4,24 años luz."
